轮配置id	高难房间个数	房间1不可高难的怪物配置	房间1可高难的怪物配置	房间2不可高难的怪物配置	房间2可高难的怪物配置	房间3不可高难的怪物配置	房间3可高难的怪物配置
1001	1	33002,33003	33001	33005	33006	33012	
1002	1	33002,33008	33001	33009,33016,33017	33050,33029,33049	33011,33047	
1003	1	33008,33012	33006,33043	33047	33030,33044,33041,33048	33019,33027	
1004	1	33004,33007,33017		33045,33022,33023	33048,33021	33034	
1005	1	33003,33020,33022		33046	33021,33024	33013,33028,33025	
1006	1	33060	33037,33038		33031,33030,33041,33042	33039,33040	33071
1007	1	33019,33020	33021	33059	33024,33029,33049,33048,33050		33065
1008	1	33018	33035,33054,33055,33056	33034	33057,33058	33014,33015	
1009	1	33005,33060	33006	33032,33033,33012,33059	33070	33028,33034	33071
1010	1	33002,33003	33062	33022,33023			33063
1011	1		33030,33031		33029,33024	33036	33065
1012	1	33060			33070		33071
1013	1		33074,33075		33076	33077	
1014	1		33078,33079		33080,33081	33082,33083	
1015	1	33003,33004			33084,33085		33080,33081
1016	1	33032,33033,33060		33059	33070		33071
1017	1	33018			33035,33054,33055,33056	33028	
1018	1	33002,33003	33001	33005	33006	33061,33072,33073	
1019	1	33002,33008	33001	33009,33016,33017,33047	33050,33029,33049	33061,33072,33073	
1020	1	33008,33012	33006,33043	33047	33030,33044,33041,33048	33162,33088	
1021	1	33004,33007,33017		33045,33022,33023	33048,33021	33162,33088	
1022	1	33003,33020,33022		33046	33021,33024	33163	
1023	1	33060	33037,33038		33031,33030,33041,33042	33061,33072,33073	
1024	1	33019,33020	33021	33059	33024,33029,33049,33048,33050	33066,33067,33068,33069	
1025	1	33018	33035,33054,33055,33056	33034	33057,33058	33061,33072,33073	
1026	1	33005,33060	33006	33032,33033,33012,33059	33070	33061,33072,33073	
1027	1	33002,33003	33062	33022,33023	33063	33061	
1028	1		33064		33065	33066,33067,33068,33069	
1029	1		33070	33059		33061,33072,33073	
1030	1		33074,33075		33076	33061,33072,33073	
1031	1		33078,33079		33080,33081	33061,33072,33073	
1032	1		33084,33085	33086,33087		33061,33072,33073	
1033	1	33032,33033,33060		33060,33059	33070	33061,33072,33073	
1034	1	33018			33035,33054,33055,33056	33066,33067,33068,33069	
1035	1	33060	33037,33038		33031,33030,33041,33042	33072	
1036	1	33018	33035,33054,33055,33056	33034	33057,33058	33072	
1037	0	33127,33128,33090		33130,33091		33135	
1038	0	33127,33132,33090		33133,33139,33105,33094,33104,33171		33134,33156	
1039	0	33132,33135,33091,33101		33095,33102,33099,33103		33141,33146,33156	
1040	0	33129,33131,33139		33154,33143,33144,33103,33092		33150	
1041	0	33128,33142,33143		33155,33092,33093		33136,33147,33145	
1042	0	33158,33096,33097		33096,33095,33099,33100		33152,33153,33117	
1043	0	33141,33142,33092		33157,33093,33094,33104,33103,33105		33115	
1044	0	33140,33106,33107,33108,33109		33150,33110,33111		33137,33138	
1045	0	33130,33158,33091		33148,33149,33135,33116		33117,33147,33150	
1046	0	33127,33128,33112		33143,33144		33113	
1047	0	33095,33096		33094,33093		33151,33115	
1048	0	33158		33116		33117	
1049	0	33118,33119		33120		33159	
1050	0	33121,33122		33123,33124		33160,33161	
1051	0	33128,33129		33125,33126		33123,33124	
1052	0	33148,33149,33158		33157,33116		33117	
1053	0	33140		33106,33107,33108,33109		33147	
1054	0	33127,33128,33090		33130,33091		33061,33072,33073	
1055	0	33127,33132,33156,33090		33133,33139,33105,33094,33104,33171		33061,33072,33073	
1056	0	33132,33135,33156,33091,33101		33095,33102,33099,33103		33162,33088	
1057	0	33129,33131,33139		33154,33143,33144,33103,33092		33162,33088	
1058	0	33128,33142,33143		33155,33092,33093		33163	
1059	0	33158,33097,33098		33096,33095,33099,33100		33061,33072,33073	
1060	0	33141,33142,33092		33157,33093,33094,33103,33104,33105		33066,33067,33068,33069	
1061	0	33140,33106,33107,33108,33109		33150,33110,33111		33061,33072,33073	
1062	0	33130,33158,33091		33148,33149,33135,33116		33061,33072,33073	
1063	0	33127,33128,33112		33143,33144,33113		33061	
1064	0	33137		33115		33066,33067,33068,33069	
1065	0	33116		33117		33061,33072,33073	
1066	0	33118,33119		33120		33061,33072,33073	
1067	0	33121,33122		33123,33124		33061,33072,33073	
1068	0	33125,33126		33162,33163		33061,33072,33073	
1069	0	33148,33149,33158,33157		33158,33157,33116		33061,33072,33073	
1070	0	33140		33106,33107,33108,33109		33066,33067,33068,33069	
1071	0	33158,33097,33098		33096,33095,33099,33100		33072	
1072	0	33140,33106,33107,33108,33109		33150,33110,33111		33072	
1073	1	33002,33008	33001	33009,33017,33164,33165,33016	33029	33011,33047	
1074	1	33008,33012	33006,33043	33047,33164,33166	33030,33044,33041	33019,33027	
1075	1	33004,33007,33017		33045,33022,33023,33166,33167	33021	33034	
1076	1	33003,33020,33022		33046,33165,33167	33021,33024	33013,33028,33025	
1077	1	33060	33037,33038	33168,33169,33170	33031,33030,33041,33042	33039,33040	33071
1078	1	33019,33020	33021	33059,33168,33169,33170	33024,33029		33065
1079	1	33018	33035,33054,33055,33056	33034,33169,33170	33057,33058	33014,33015	
1080	1	33005,33060	33006	33032,33033,33012,33059,33169,33170	33070	33028,33034	33071
1081	1	33032,33033,33060		33059,33169,33170	33070		33071
1082	0	33141,33142,33092		33157,33093,33094		33066,33067,33068,33069	
1083	1	33005,33060	33006	33032,33033,33012,33059,33168,33169,33170	33070	33061,33072,33073	
1084	1	33002,33003	33062	33022,33023,33169,33170	33063	33172	
1085	1		33064	33168,33169,33170	33065	33173,33174,33175,33176	
1086	1		33070	33059,33169,33170		33172,33177,33178	
1087	1		33074,33075	33169,33170	33076	33172,33177,33178	
1088	1		33084,33085	33086,33087,33164,33165		33172,33177,33178	
1089	1		33074,33075	33169,33170	33076	33077	
1090	1	33018		33170	33035,33054,33055,33056	33028	
1091	1	33002,33003	33001	33005,33169	33006	33012	
