流水id	dungeon_id	cell_id	cell中心点坐标	小地图坐标	相邻cell_id	group_id	权重模板序号	操作台delta_Y	房间门Offset	特殊类型	房间门delta_Y	出生房间
1	3017	1	0,0,80	1,1	13,2	247001022	1	0.05	20		0.122	
2	3017	2	0,0,160	2,1	1,3,5	247001023	2	0.05	20		0.122	
3	3017	3	-80,0,160	2,0	2,4	247001024	1	-0.6	20		0.122	
4	3017	4	-80,0,240	3,0	3,5	247001042	2	-0.6	20	7	0.122	
5	3017	5	0,0,240	3,1	2,4,6	247001026	1	-0.6	20		0.122	
6	3017	6	0,0,320	4,1	5,7	247001029	2	0.05	20		0.122	
7	3017	7	0,0,400	5,1	6,8,10	247001030	1	0.05	20		0.122	
8	3017	8	80,0,400	5,2	7,9	247001031	2	0.05	20		0.122	
9	3017	9	80,0,480	6,2	8	247001044	1	0	20	7	0.122	
10	3017	10	0,0,480	6,1	7,11	247001033	2	-0.6	20		0.122	
11	3017	11	0,0,560	7,1	10,12	247001036	1	0.05	20		0.122	
12	3017	12	0,0,670	8,1	11	247001017	1	0	20	6	0.122	
13	3017	13	0,0,0	0,1	1	247001021	1	0	25	1	0.122	1
14	3020	1	0,0,0	0,1	2	247004002	1	0	20	1	0.122	1
15	3020	2	0,0,80	1,1	1,3	247004003	2	0.05	20		0.122	
16	3020	3	0,0,160	2,1	2,4,8	247004006	1	-0.6	20		0.122	
17	3020	4	-80,0,160	2,0	3,5	247004007	2	0.05	20		0.122	
18	3020	5	-80,0,240	3,0	4,6	247004008	1	-0.6	20		0.122	
19	3020	6	-80,0,320	4,0	5,7	247004030	2	0	20	7	0.122	
20	3020	7	0,0,320	4,1	6,8,12	247004010	1	0.05	20		0.122	
21	3020	8	0,0,240	3,1	3,9,7	247004011	2	-0.6	20		0.122	
22	3020	9	80,0,240	3,2	8,10	247004012	1	-0.6	20		0.122	
23	3020	10	80,0,320	4,2	9,11	247004016	1	0.05	20		0.122	
24	3020	11	80,0,400	5,2	10,12,13	247004017	2	-0.6	20		0.122	
25	3020	12	0,0,400	5,1	7,11	247004029	1	0	20	7	0.122	
26	3020	13	80,0,510	6,2	11,14	247004020	1	0	20	6	0.122	
27	3020	14	80,0,620	7,2	13	247004021	2	0	20	1	0.122	
28	3021	1	0,0,0	0,1	2	247005002	1	0	20	1	0.122	1
29	3021	2	0,0,80	1,1	1,3	247005004	2	0.05	20		0.122	
30	3021	3	0,0,160	2,1	2,4,6	247005005	1	0.05	20		0.122	
31	3021	4	80,0,160	2,2	3,5	247005006	2	0.05	20		0.122	
32	3021	5	160,0,160	2,3	4,7	247005026	1	0	20	7	0.122	
33	3021	6	0,0,240	3,1	3,8	247005008	2	-0.7	20		0.122	
34	3021	7	160,0,240	3,3	5,10	247005010	1	0.05	20		0.122	
35	3021	8	0,0,320	4,1	6,9	247005012	2	0.05	20		0.122	
36	3021	9	80,0,320	4,2	8,10,11	247005013	1	-0.7	20		0.122	
37	3021	10	160,0,320	4,3	7,9	247005014	2	0.05	20		0.122	
38	3021	11	80,0,400	5,2	9,12	247005017	1	0.05	20		0.122	
39	3021	12	80,0,480	6,2	11,13	247005018	2	0.05	20		0.122	
40	3021	13	80,0,560	7,2	12	247005003	1	0	20	6	0.122	
41	3018	1	0,0,0	0,0	2	247002002	1	0	20	1	0.122	1
42	3018	2	80,0,0	0,1	1,3	247002009	2	0.05	20		0.122	
43	3018	3	80,0,80	1,1	2,4,5	247002010	1	-0.7	20		0.122	
44	3018	5	80,0,160	2,1	3,6	247002011	2	0.05	20		0.122	
45	3018	4	160,0,80	1,2	3,6	247002012	1	0.05	20		0.122	
46	3018	6	160,0,160	2,2	4,5,7	247002013	2	0.05	20		0.122	
47	3018	7	240,0,160	2,3	6,8	247002033	1	0	20	7	0.122	
48	3018	8	240,0,240	3,3	7,9,10	247002016	2	0.05	20		0.122	
49	3018	10	240,0,320	4,3	8,11	247002017	1	0.05	20		0.122	
50	3018	9	320,0,240	3,4	8,11	247002018	2	0.05	20		0.122	
51	3018	11	320,0,320	4,4	9,10,12	247002019	1	-0.7	20		0.122	
52	3018	12	400,0,320	4,5	11,13	247002034	2	0	20	7	0.122	
53	3018	13	400,0,400	5,5	12,14	247002022	1	0.05	20		0.122	
54	3018	14	400,0,510	6,5	13,15	247002023	2	0	20	6	0.122	
55	3018	15	400,0,620	7,5	14	247002024	1	0	20	1	0.122	
56	3022	1	0,0,0	0,2	3	247006002	1	0	20	1	0.122	1
57	3022	2	-80,0,80	1,1	3,4	247006008	2	0.05	20		0.122	
58	3022	3	0,0,80	1,2	1,2,8	247006006	1	0	20	7	0.122	
59	3022	4	-80,0,160	2,1	2,5,8	247006009	1	0.1	20		0.122	
60	3022	5	-160,0,160	2,0	4,6	247006010	2	0.05	20		0.122	
61	3022	6	-160,0,240	3,0	5,7	247006011	1	0.05	20		0.122	
62	3022	7	-160,0,320	4,0	6,15	247006005	2	0	20	7	0.122	
63	3022	8	0,0,160	2,2	3,4,9	247006012	1	0.15	20		0.122	
64	3022	9	0,0,240	3,2	8,10	247006013	2	0.05	20		0.122	
65	3022	10	-80,0,240	3,1	9,15	247006014	1	0.15	20		0.122	
66	3022	11	0,0,320	4,2	12,15	247006018	2	0.1	20		0.122	
67	3022	12	0,0,400	5,2	11,13	247006019	1	0.05	20		0.122	
68	3022	13	80,0,400	5,3	12,14	247006020	2	0.1	20		0.122	
69	3022	14	80,0,510	6,3	13	247006003	1	0	20	6	0.122	
70	3022	15	-80,0,320	4,1	7,10,11	247006021	1	0.05	20		0.122	
71	3019	1	0,0,0	0,0	2	247003002	1	0	20	1	0.122	1
72	3019	2	80,0,0	0,1	1,3	247003008	1	0.05	20		0.122	
73	3019	3	80,0,80	1,1	2,5	247003009	2	0.1	20		0.122	
74	3019	4	160,0,0	0,2	5,7	247003011	2	0.05	20		0.122	
75	3019	5	160,0,80	1,2	3,4,6	247003010	1	0.05	20		0.122	
76	3019	6	160,0,160	2,2	5,9	247003015	2	0.15	20		0.122	
77	3019	7	240,0,0	0,3	4,8	247003005	1	0	20	7	0.122	
78	3019	8	240,0,80	1,3	7,9	247003012	2	0.1	20		0.122	
79	3019	9	240,0,160	2,3	6,8,10,12	247003013	1	0.05	20		0.122	
80	3019	10	240,0,240	3,3	9,11,13	247003018	1	0.15	20		0.122	
81	3019	11	240,0,320	4,3	10	247003019	2	0.05	20		0.122	
82	3019	12	320,0,160	2,4	9	247003006	2	0	20	7	0.122	
83	3019	13	320,0,240	3,4	10,14	247003020	1	0.1	20		0.122	
84	3019	14	320,0,350	4,4	13,15	247003003	1	0	20	6	0.122	
85	3019	15	320,0,460	5,4	14	247003032	1	0	20	1	0.122	
86	3023	1	0,0,0	0,0	2	247007002	1	-0.3	20	1	0.122	1
87	3023	2	0,0,80	1,0	1,3	247007003	2	0.05	20		0.122	
88	3023	3	0,0,160	2,0	2,4,6	247007004	1	-0.6	20		0.122	
89	3023	4	0,0,240	3,0	3,5	247007005	2	-0.6	20		0.122	
90	3023	5	80,0,240	3,1	4,6,10	247007006	1	-0.6	20		0.122	
