configid,玩法阶段,地城层数,dungeon_id,权重,reviselevel,普通房牌库id,精英房牌库id,精英房高难牌库id,商店房牌库id,BOSS房牌库id,诅咒池id,商店房诅咒概率,陷阱诅咒概率,炸药桶group_id,炸药桶数量范围,炸药桶gadget_id,陷阱group_id,陷阱数量范围,破碎物group_id,破碎物数量范围,gadget_list,屏风group_id,屏风数量范围,屏风gadget_id,刷新牌库消耗,守护装置tag,守护装置数量范围
1,1,1,3017,100,2003,1,2,3,4,5,1,20,25,247001018,10#15,70310100,247001019,4#6,247001020,50#70,70310129#70310130#70310131,247001040,12#17,70310132#70310133,132#120,,
2,1,2,3020,100,2003,1,2,3,4,5,1,20,25,247004026,13#15,70310100,247004023,0#0,247004022,60#85,70310129#70310130#70310131,247004024,15#22,70310132#70310133,132#120,,
3,2,1,3021,100,2003,6,7,8,9,10,1,20,25,247005019,12#15,70310100,247005020,4#6,247005021,40#50,70310129#70310130#70310131,247005024,15#17,70310132#70310133,132#120,32,2#3
4,2,2,3018,100,2003,6,7,8,9,10,1,20,25,247002025,12#15,70310100,247002027,4#6,247002026,40#50,70310129#70310130#70310131,247002028,15#17,70310132#70310133,132#120,32,2#3
5,3,1,3022,100,2003,11,12,13,14,15,1,20,25,247006022,7#9,70310100,,,247006024,40#50,70310129#70310130#70310131,247006023,13#20,70310132#70310133,132#120,32,3#5
6,3,2,3019,100,2003,11,12,13,14,15,1,20,25,247003021,7#9,70310100,,,247003022,40#50,70310129#70310130#70310131,247003023,15#20,70310132#70310133,132#120,32,3#5
7,4,1,3023,100,2003,16,17,18,19,20,1,20,25,247007021,4#4,70310100,247007023,1#2,247007022,60#70,70310129#70310130#70310131,247007024,24#28,70310132#70310133,132#120,256,4#5
8,4,2,3024,100,2003,16,17,18,19,20,1,20,25,247008020,4#4,70310100,247008022,1#2,247008021,60#70,70310129#70310130#70310131,247008023,20#24,70310132#70310133,132#120,16,4#5
9,5,1,3025,100,2003,16,17,18,19,20,2,50,25,247009018,8#15,70310100,247002027,4#6,247009020,50#70,70310129#70310130#70310131,247009040,15#19,70310132#70310133,132#120,256,3#5
10,5,2,3026,100,2003,16,17,18,19,20,2,50,25,247010025,8#10,70310100,247002027,4#6,247010026,40#50,70310129#70310130#70310131,247010028,15#17,70310132#70310133,132#120,32,3#5
