configid,玩法阶段,地城层数,地城id,陷阱group_id,陷阱数量范围,[陷阱]1gadget_id,[陷阱]1权重,[陷阱]2gadget_id,[陷阱]2权重,球group_id,球数量范围,[球]1gadget_id,[球]1权重,[球]2gadget_id,[球]2权重,[球]3gadget_id,[球]3权重
1,1,1,3017,247001019,4#6,70310101,7,70310106,3,247001039,6#10,70310109,7,70310110,3,70310111,0
2,2,2,3018,247002027,3#5,70310101,7,70310106,3,247002029,4#6,70310109,7,70310110,3,70310111,0
3,1,2,3020,247004023,4#6,70310101,7,70310106,3,247004025,6#8,70310109,7,70310110,3,70310111,0
4,2,1,3021,247005020,4#6,70310101,7,70310106,3,247005023,6#8,70310109,7,70310110,3,70310111,0
5,3,1,3022,247006025,4#6,70310101,7,70310106,3,247006026,6#8,70310109,7,70310110,3,70310111,0
6,3,2,3019,247003024,5#7,70310101,7,70310106,3,247003025,6#8,70310109,7,70310110,3,70310111,0
7,4,1,3023,247007023,4#6,70310101,7,70310106,3,247007025,4#4,70310109,7,70310110,3,70310111,0
8,4,2,3024,247008022,4#6,70310101,7,70310106,3,247008024,4#4,70310109,7,70310110,3,70310111,0
9,5,1,3025,247009019,4#6,70310101,7,70310106,3,247009039,6#8,70310109,7,70310110,3,70310111,0
10,5,2,3026,247010027,4#6,70310101,7,70310106,3,247010029,6#8,70310109,7,70310110,3,70310111,0
