configid	式神技能组id	式神技能等级	[解锁条件]1类型	[解锁条件]1参数	[解锁条件]2类型	[解锁条件]2参数	升级消耗道具	升级消耗道具数量
1	1	0	2	1				
2	1	1	2	1			133	100
3	1	2	2	1			133	150
4	1	3	2	1			133	200
5	1	4	2	1			133	250
6	1	5	2	1			133	300
7	1	6	2	1			133	350
8	1	7	2	4	3	1	133	400
9	1	8	2	4	3	1	133	450
10	1	9	2	7	3	2	133	500
11	1	10	2	7	3	2	133	550
12	2	0	2	1				
13	2	1	2	4			133	300
14	2	2	2	7			133	300
15	3	0	2	1				
16	3	1	2	1			133	300
17	3	2	2	4			133	300
18	3	3	2	7			133	300
19	4	0	2	1				
20	4	1	2	1			133	300
21	4	2	2	4			133	300
22	4	3	2	7			133	300
23	5	0	2	1				
24	5	1	2	4	3	1	133	300
25	5	2	2	7	3	2	133	300
26	6	0	2	1				
27	6	1	2	1			133	200
28	6	2	2	1			133	250
29	6	3	2	4			133	300
30	6	4	2	4			133	350
31	6	5	2	7			133	400
32	7	0	2	1				
33	7	1	2	4			133	300
34	8	0	2	1				
35	8	1	2	7			133	300
36	9	0	2	1				
37	9	1	2	1			133	300
38	10	0	2	1				
39	10	1	2	4			133	300
40	11	0	2	1				
41	11	1	2	7			133	300
