序号,阶段,层数,cell类型,获取代币A数量,获取代币B数量,获取代币C数量
1,1,1,0,60#80,60,40
2,1,1,1,80#100,120,80
3,1,1,2,100#120,180,120
4,1,1,3,180#270,450,300
5,1,2,0,60#80,90,60
6,1,2,1,80#100,180,120
7,1,2,2,100#120,270,180
8,1,2,3,180#270,600,400
9,2,1,0,60#80,60,40
10,2,1,1,80#100,120,80
11,2,1,2,100#120,180,120
12,2,1,3,180#270,450,300
13,2,2,0,60#80,90,60
14,2,2,1,80#100,180,120
15,2,2,2,100#120,270,180
16,2,2,3,180#270,600,400
17,3,1,0,60#80,60,40
18,3,1,1,80#100,120,80
19,3,1,2,100#120,180,120
20,3,1,3,180#270,450,300
21,3,2,0,60#80,90,60
22,3,2,1,80#100,180,120
23,3,2,2,100#120,270,180
24,3,2,3,180#270,600,400
25,4,1,0,60#80,60,40
26,4,1,1,80#100,120,80
27,4,1,2,100#120,180,120
28,4,1,3,180#270,450,300
29,4,2,0,60#80,90,60
30,4,2,1,80#100,180,120
31,4,2,2,100#120,270,180
32,4,2,3,180#270,600,400
33,5,1,0,60#80,0,0
34,5,1,1,80#100,0,0
35,5,1,2,100#120,0,0
36,5,1,3,180#270,0,0
37,5,2,0,60#80,0,0
38,5,2,1,80#100,0,0
39,5,2,2,100#120,0,0
40,5,2,3,180#270,0,0
