商店类型	商店ID	刷新类型	刷新参数	OpenStateType	城市ID	折扣生效的声望等级	摩拉折扣参数
1007	101			1007			
1001	102	1	1	1001			
902	103			903			
900	104			901			
903	105			902			
1052	106						
1002	201			1002			
1003	202			1003			
1004	203			1004	1	4	90
1005	204			1005	1	4	90
1011	205						
1012	206						
1013	207						
1014	208						
1015	209						
1016	210						
1017	211						
1018	212						
1048	213			1500			
1049	214			1500			
1064	215						
1068	216						
2000	217						
2001	218						
2002	219						
2003	220						
1009	301			1009			
1008	302			1008	2	4	90
1010	303			1010	2	4	90
1019	304						
1020	305						
1021	306						
1022	307						
1023	308						
1024	309						
1025	310						
1026	311						
1027	312						
1028	313						
1029	314						
1030	315						
1031	316						
1032	317						
1033	318						
1034	319						
1035	320						
1036	321						
1038	322						
1039	323						
1065	324						
1053	401						
1054	402						
1055	403						
1056	404				3	4	90
1057	405			1011			
1058	406				3	4	90
1059	407						
1060	408						
1061	409			1012			
1062	410						
1063	411			1003			
1066	412						
1067	413						
1069	414						
1070	415						
1071	501						
1072	502						
1073	503				4	4	90
1074	504				4	4	90
1075	505						
1076	506						
1077	507						
1078	508						
1079	509						
1080	510						
1081	511						
1082	512						
1083	513						
1084	514						
1085	515						
1086	516						
1087	517						
1088	518						
1006	1001			1006			
1037	1002						
1041	1003						
1040	1004						
1043	1005						
1044	1044						
1042	1042						
1045	1045						
1046	1046						
1047	1047						
1050	1050						
1051	1051						
31001	1052						
15001	15001						
16001	16001						
16002	16002						
20001	20001						
20002	20002						
20003	22001						
20004	20003						
20005	20005						
27001	27001						
28001	28001						
30001	30001						
32001	32001						
32002	32002						
33001	33001						
34001	34001						
