商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
101001	1007	106		1																2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
201001	1002	104111		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201002	1002	104121		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201003	1002	104151		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201004	1002	104161		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201005	1002	104171		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201006	1002	104141		1				305	10							6				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201007	1002	114001		1				305	4							3				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201008	1002	114005		1				305	4							3				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201009	1002	114009		1				305	4							3				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201010	1002	915		1				305	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201011	1002	101101		1				305	225							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201012	1002	202		1600				305	1							60				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201013	1002	202		1600				305	2											2019-12-01 00:00:00	2035-01-01 00:00:00	1	2					1	1	99	1			
202001	1003	11201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202002	1003	12201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202003	1003	13201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202004	1003	14201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
202005	1003	15201		1	600											1	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203001	1004	100075		1	60											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203002	1004	100077		1	80											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203003	1004	100076		1	80											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203004	1004	100078		1	100											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203005	1004	100079		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
203006	1004	100018		1	120											100	3	1		2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
