ID	MaterialID	AbilityName	BuffCost	BuffQuality	Buff品质
38	200241	ActivityAbility_EnergyDisk_Purple_HealthyDamage_V2			4
39	200242	ActivityAbility_EnergyDisk_Purple_Berserker_V2			4
40	200243	ActivityAbility_EnergyDisk_Purple_PickupTriggerAOE_V2			4
41	200244	ActivityAbility_EnergyDisk_Purple_ElementBurst_Count3Wave_V2			4
42	200245	ActivityAbility_EnergyDisk_Purple_ElementBurstTriggerWave_V2			4
43	200246	ActivityAbility_EnergyDisk_Blue_ElementDmgUpAfterCrystalShield_V2			3
44	200247	ActivityAbility_EnergyDisk_Blue_ElementBurst_NormalAtkUp_V2			3
45	200248	ActivityAbility_EnergyDisk_Blue_HasShield_NormalAtkUp_V2			3
46	200249	ActivityAbility_EnergyDisk_Blue_ExtraAtkKill_Attract_V2			3
47	200250	ActivityAbility_EnergyDisk_Blue_MonsterNumAtkDefUp_V2			3
48	200251	ActivityAbility_EnergyDisk_Blue_ExtraAtkKillMonster_V2			3
49	200252	ActivityAbility_EnergyDisk_Blue_BuffAfterCrystalShield_V2			3
50	200253	ACTIVITYABILITY_ENERGYDISK_BLUE_ADDELEMENTBURSTLEVEL			3
51	200254	ActivityAbility_EnergyDisk_Blue_KillAOEMonster_V2			3
52	200255	ActivityAbility_EnergyDisk_Green_PhysicalHurtUp_V2			2
53	200256	ActivityAbility_EnergyDisk_Green_BurstDamageUp_V2			2
54	200257	ActivityAbility_EnergyDisk_Green_ElemMasteryDeltaUp_V2			2
55	200258	ActivityAbility_EnergyDisk_Green_DefUp_V2			2
56	200259	ActivityAbility_EnergyDisk_Green_ExtraAtkUp_V2			2
57	200260	ActivityAbility_EnergyDisk_Green_ThumpDamageUp_V2			2
58	200261	ActivityAbility_EnergyDisk_Purple_BurstDamageUp_V2			4
59	200262	ActivityAbility_EnergyDisk_Blue_ShockCdMinus_V2			3
