限制条件ID,限制条件类型,限制条件参数1,限制条件参数2,互斥组,完成积分
1,1,600,,1,150
2,1,300,,1,300
3,1,180,,1,400
4,1,750,,1,300
5,1,480,,1,200
6,1,300,,1,100
11,2,1401,25,2,150
12,2,1402,100,2,300
13,2,1403,200,2,400
21,2,1411,,,25
22,2,1412,,,25
23,2,1413,,,25
24,2,1414,,,25
25,2,1415,,,25
26,2,1416,,,25
27,2,1417,,,25
28,2,1418,,,50
31,2,1421,,,25
32,2,1422,,,50
33,2,1423,,,25
34,2,1424,,,25
41,2,1431,,,50
42,2,1432,,,50
43,2,1434,,,50
44,2,1441,,,25
45,2,1438,,,25
46,2,1439,,,25
47,2,1440,,,25
48,2,1433,,,25
49,2,1436,,,25
50,2,1437,,,25
101,3,,,,50
102,3,,,,25
103,3,,,,50
104,3,,,,50
105,3,,,,50
111,3,,,,50
112,2,1453,,,50
113,2,1454,,,50
114,3,,,,25
121,3,,,,50
122,3,,,,50
123,2,1452,,,25
124,2,1451,,,25
131,3,,,,50
132,3,,,,50
133,3,,,,50
134,3,,,,25
135,3,,,,25
201,1,600,,1,150
202,1,300,,1,300
203,1,150,,1,400
204,1,750,,1,300
205,1,480,,1,200
206,1,300,,1,100
211,2,1645,25,2,150
212,2,1646,100,2,300
213,2,1647,200,2,400
228,2,1648,,,50
231,2,1649,,,25
232,2,1650,,,25
233,2,1423,,,25
234,2,1662,,,25
241,2,1651,,,50
242,2,1652,,,50
243,2,1654,,,25
244,2,1660,,,25
245,2,1657,,,50
246,2,1658,,,50
247,2,1659,,,50
248,2,1653,,,50
249,2,1655,,,25
250,2,1656,,,25
301,3,,,,75
302,3,,,,25
303,3,,,,50
304,3,,,,50
311,2,1643,,,50
312,2,1644,,,25
313,3,,,,75
314,3,,,,50
315,3,,,,75
321,2,1642,,,25
322,2,1641,,,50
323,2,1661,,,50
