ID,家具ID,场景ID,物件ID1,物件ID2,物件ID3,物件ID4,物件ID5,物件ID6,物件ID7,物件ID8,物件ID9,物件ID10
1,360101,2201,77101017,77101003,77101014,77101023,77101020,77101003,77101014,,,
2,360101,2202,77101007,77101003,77101003,77101003,77101011,77101003,77101004,,,
3,360102,2202,77101033,77101026,77101026,77101026,77101036,77101026,77101027,,,
4,360102,2201,77101039,77101026,77101030,77101045,77101042,77101026,77101030,,,
5,360201,2201,77101016,77101002,77101013,77101022,77101019,77101002,77101013,,,
6,360201,2202,77101006,77101002,77101002,77101002,77101009,77101002,77101048,,,
7,360202,2202,77101032,77101025,77101025,77101025,77101035,77101025,77101050,,,
8,360202,2201,77101038,77101025,77101029,77101044,77101041,77101025,77101029,,,
9,360301,2201,77101015,77101001,77101012,77101021,77101018,77101001,77101012,,,
10,360301,2202,77101005,77101001,77101001,77101001,77101008,77101001,77101047,,,
11,360302,2202,77101031,77101024,77101024,77101024,77101034,77101024,77101049,,,
12,360302,2201,77101037,77101024,77101028,77101043,77101040,77101024,77101028,,,
13,360401,2201,,77108001,77108001,77108001,77108001,77108001,77108001,,,
14,360401,2202,,77108001,77108001,77108001,77108001,77108001,77108001,,,
15,360401,2203,77108001,77108001,77108001,77108001,,77108001,77108001,,,
16,360402,2202,,77108007,77108007,77108007,77108007,77108007,77108007,,,
17,360402,2201,,77108007,77108007,77108007,77108007,77108007,77108007,,,
18,360402,2203,77108007,77108007,77108007,77108007,,77108007,77108007,,,
19,360403,2201,,77108008,77108008,77108008,77108008,77108008,77108008,,,
20,360403,2202,,77108008,77108008,77108008,77108008,77108008,77108008,,,
21,360403,2203,77108008,77108008,77108008,77108008,,77108008,77108008,,,
22,360404,2201,,77108002,77108002,77108002,77108002,77108002,77108002,,,
23,360404,2202,,77108002,77108002,77108002,77108002,77108002,77108002,,,
24,360404,2203,77108002,77108002,77108002,77108002,,77108002,77108002,,,
25,364301,2201,77101053,77101053,77101053,77101053,77101053,77101053,77101053,,,
26,364301,2202,77101053,77101053,77101053,77101053,77101053,77101053,77101053,,,
