GivingDataID,CharacterID
6900212,10000002
6900317,10000003
6900615,10000006
6901415,10000014
6901515,10000015
6901615,10000016
6902015,10000020
6902110,10000021
6902210,10000022
6902310,10000023
6902410,10000024
6902510,10000025
6902610,10000026
6902710,10000027
6902910,10000029
6903010,10000030
6903110,10000031
6903210,10000032
6903310,10000033
6903410,10000034
6903510,10000035
6903610,10000036
6903710,10000037
6903810,10000038
6903910,10000039
6904110,10000041
6904210,10000042
6904310,10000043
6904410,10000044
6904510,10000045
6904610,10000046
6904712,10000047
6904810,10000048
6904912,10000049
6905012,10000050
6905110,10000051
6905213,10000052
6905217,10000052
6905312,10000053
6905412,10000054
6905512,10000055
6905612,10000056
6905712,10000057
6905812,10000058
6906312,10000063
6906412,10000064
6906612,10000066
6900912,10000065
6900812,10000060
