地城ID	[总分]1战力类型	[总分]1分数	[总分]2战力类型	[总分]2分数	[总分]3战力类型	[总分]3分数	[总分]4战力类型	[总分]4分数
103	1	55548	2	29964	3	37980	4	40596
104	1	66316	2	38124	3	58520	4	52032
105	1	77812	2	47224	3	83300	4	64788
106	1	90036	2	57256	3	111240	4	101748
110	1	55548	2	29964	3	37980	4	40596
111	1	66316	2	38124	3	58520	4	52032
112	1	77812	2	47224	3	83300	4	64788
113	1	90036	2	57256	3	111240	4	101748
114	1	55548	2	29964	3	37980	4	40596
115	1	66316	2	38124	3	58520	4	52032
116	1	77812	2	47224	3	83300	4	64788
117	1	90036	2	57256	3	111240	4	101748
118	1	55548	2	29964	3	37980	4	40596
119	1	66316	2	38124	3	58520	4	52032
120	1	77812	2	47224	3	83300	4	64788
121	1	90036	2	57256	3	111240	4	101748
122	1	55548	2	29964	3	37980	4	40596
123	1	66316	2	38124	3	58520	4	52032
124	1	77812	2	47224	3	83300	4	64788
125	1	90036	2	57256	3	111240	4	101748
127	1	55548	2	29964	3	37980	4	40596
128	1	66316	2	38124	3	58520	4	52032
129	1	77812	2	47224	3	83300	4	64788
130	1	90036	2	57256	3	111240	4	101748
131	1	55548	2	29964	3	37980	4	40596
132	1	66316	2	38124	3	58520	4	52032
133	1	77812	2	47224	3	83300	4	64788
134	1	90036	2	57256	3	111240	4	101748
135	1	55548	2	29964	3	37980	4	40596
136	1	66316	2	38124	3	58520	4	52032
137	1	77812	2	47224	3	83300	4	64788
138	1	90036	2	57256	3	111240	4	101748
2008	1	31820	2	13664	3	12400	4	12000
2012	1	55548	2	29964	3	37980	4	40596
2014	1	77812	2	47224	3	83300	4	64788
2016	1	90036	2	57256	3	111240	4	101748
2020	1	36200	2	16456	3	13760	4	12000
2021	1	45512	2	22744	3	18960	4	27840
2022	1	55548	2	29964	3	37980	4	40596
2023	1	66316	2	38124	3	58520	4	52032
2024	1	77812	2	47224	3	83300	4	64788
2025	1	90036	2	57256	3	111240	4	101748
3004	1	31820	2	13664	3	12400	4	12000
4007	1	23604	2	8780	3	4620	4	12000
4010	1	19768	2	6692	3	4620	4	12000
4011	1	27620	2	11104	3	9280	4	12000
4016	1	66316	2	38124	3	58520	4	52032
4018	1	45512	2	22744	3	18960	4	27840
4020	1	55548	2	29964	3	37980	4	40596
4021	1	40764	2	19484	3	16760	4	19260
4200	1	34428	2	15312	3	13760	4	12000
4201	1	49440	2	25520	3	18960	4	27840
4202	1	67432	2	38992	3	58520	4	52032
4203	1	90036	2	57256	3	111240	4	101748
4210	1	34428	2	15312	3	13760	4	12000
4211	1	49440	2	25520	3	18960	4	27840
4212	1	67432	2	38992	3	58520	4	52032
4213	1	90036	2	57256	3	111240	4	101748
4220	1	34428	2	15312	3	13760	4	12000
4221	1	49440	2	25520	3	18960	4	27840
4222	1	67432	2	38992	3	58520	4	52032
4223	1	90036	2	57256	3	111240	4	101748
4230	1	34428	2	15312	3	13760	4	12000
4231	1	49440	2	25520	3	18960	4	27840
4232	1	67432	2	38992	3	58520	4	52032
4233	1	90036	2	57256	3	111240	4	101748
4300	1	16592	2	5616	3	3980	4	12000
4301	1	32680	2	14204	3	12400	4	12000
4302	1	54512	2	29200	3	24220	4	27840
4303	1	87532	2	51124	3	93740	4	82392
4310	1	16592	2	5616	3	3980	4	12000
4311	1	32680	2	14204	3	12400	4	12000
4312	1	54512	2	29200	3	24220	4	27840
4313	1	87532	2	51124	3	93740	4	82392
4320	1	16592	2	5616	3	3980	4	12000
4321	1	32680	2	14204	3	12400	4	12000
4322	1	54512	2	29200	3	24220	4	27840
4323	1	87532	2	51124	3	93740	4	82392
4330	1	16592	2	5616	3	3980	4	12000
4331	1	32680	2	14204	3	12400	4	12000
4332	1	54512	2	29200	3	24220	4	27840
4333	1	87532	2	51124	3	93740	4	82392
5001	1	30964	2	13132	3	9280	4	12000
5002	1	42640	2	20760	3	16760	4	19260
5003	1	54512	2	29200	3	24220	4	27840
5004	1	65208	2	37268	3	58520	4	40596
5005	1	87532	2	51124	3	93740	4	82392
5006	1	98548	2	68360	3	132140	4	122856
5008	1	42640	2	20760	3	16760	4	19260
5009	1	54512	2	29200	3	24220	4	27840
5010	1	65208	2	37268	3	58520	4	40596
5011	1	87532	2	51124	3	93740	4	82392
5012	1	98548	2	68360	3	132140	4	122856
5014	1	54512	2	29200	3	24220	4	27840
5015	1	65208	2	37268	3	58520	4	40596
5016	1	87532	2	51124	3	93740	4	82392
5017	1	98548	2	68360	3	132140	4	122856
5100	1	30964	2	13132	3	9280	4	12000
5101	1	42640	2	20760	3	16760	4	19260
5102	1	54512	2	29200	3	24220	4	27840
5103	1	65208	2	37268	3	58520	4	40596
5104	1	87532	2	51124	3	93740	4	82392
5105	1	98548	2	68360	3	132140	4	122856
5107	1	54512	2	29200	3	24220	4	27840
5108	1	65208	2	37268	3	58520	4	40596
5109	1	87532	2	51124	3	93740	4	82392
5110	1	98548	2	68360	3	132140	4	122856
5112	1	65208	2	37268	3	58520	4	40596
5113	1	87532	2	51124	3	93740	4	82392
5114	1	98548	2	68360	3	132140	4	122856
5120	1	54512	2	29200	3	24220	4	27840
5121	1	65208	2	37268	3	58520	4	40596
5122	1	87532	2	51124	3	93740	4	82392
5123	1	98548	2	68360	3	132140	4	122856
5125	1	54512	2	29200	3	24220	4	27840
5126	1	65208	2	37268	3	58520	4	40596
5127	1	87532	2	51124	3	93740	4	82392
5128	1	98548	2	68360	3	132140	4	122856
5200	1	54512	2	29200	3	24220	4	27840
5201	1	65208	2	37268	3	58520	4	40596
5202	1	87532	2	51124	3	93740	4	82392
5203	1	98548	2	68360	3	132140	4	122856
5204	1	54512	2	29200	3	24220	4	27840
5205	1	65208	2	37268	3	58520	4	40596
5206	1	87532	2	51124	3	93740	4	82392
5207	1	98548	2	68360	3	132140	4	122856
5050	1	54512	2	29200	3	24220	4	27840
5051	1	65208	2	37268	3	58520	4	40596
5052	1	87532	2	51124	3	93740	4	82392
5053	1	98548	2	68360	3	132140	4	122856
5210	1	16592	2	5616	3	3980	4	12000
5211	1	32680	2	14204	3	12400	4	12000
5212	1	54512	2	29200	3	24220	4	27840
5213	1	87532	2	51124	3	93740	4	82392
5214	1	16592	2	5616	3	3980	4	12000
5215	1	32680	2	14204	3	12400	4	12000
5216	1	54512	2	29200	3	24220	4	27840
5217	1	87532	2	51124	3	93740	4	82392
5218	1	16592	2	5616	3	3980	4	12000
5219	1	32680	2	14204	3	12400	4	12000
5220	1	54512	2	29200	3	24220	4	27840
5221	1	87532	2	51124	3	93740	4	82392
5222	1	16592	2	5616	3	3980	4	12000
5223	1	32680	2	14204	3	12400	4	12000
5224	1	54512	2	29200	3	24220	4	27840
5225	1	87532	2	51124	3	93740	4	82392
5250	1	34428	2	15312	3	13760	4	12000
5251	1	49440	2	25520	3	18960	4	27840
5252	1	67432	2	38992	3	58520	4	52032
5253	1	90036	2	57256	3	111240	4	101748
5254	1	34428	2	15312	3	13760	4	12000
5255	1	49440	2	25520	3	18960	4	27840
5256	1	67432	2	38992	3	58520	4	52032
5257	1	90036	2	57256	3	111240	4	101748
5258	1	34428	2	15312	3	13760	4	12000
