ID,名称$text_name_Name,icon路径,描述$text_name_Desc,教程ID
1,祈愿,Ui_SystemOpenIcon_Gacha,祈愿已解锁。向这个世界的群星祈愿，获得各异的角色与武器吧,
2,海灯节,Ui_SystemOpenIcon_SeaLampGiving,璃月正筹备着盛大的节日。欢腾与喜庆中，也充满了新的机遇。请尽情参与其中吧,
3,深境螺旋·解锁,Ui_SystemOpenIcon_Obscurae,深入危机四伏的深境螺旋，挑战自己的极限，赢得掩藏其中的宝藏吧,
4,祝圣秘境·解锁,Ui_SystemOpenIcon_Domain,接受祝圣秘境的挑战，赢取拥有强大属性与独特效果的圣遗物吧,
5,藏金秘境·解锁,Ui_SystemOpenIcon_Domain,接受藏金秘境的挑战，赢取其中的可观财富吧,
6,精通秘境·解锁,Ui_SystemOpenIcon_Domain,接受精通秘境的挑战，赢取能提升角色天赋等级的宝贵素材吧,
7,启示秘境·解锁,Ui_SystemOpenIcon_Domain,接受启示秘境的挑战，赢取能大量提升角色经验的道具吧,
8,炼武秘境·解锁,Ui_SystemOpenIcon_Domain,接受炼武秘境的挑战，获得能为武器带来突破的珍稀道具吧,
9,多人游戏·解锁,Ui_SystemOpenIcon_MultiPlayer,世界间的通路已经开启。加入他人的世界，或是迎接其他世界来的旅人，共同冒险吧,
10,纪行,Ui_SystemOpenIcon_BattlePass,纪行已解锁。开始大地之旅，去尝试各种事情吧,
11,地脉之花·解锁,Ui_SystemOpenIcon_Blossom,元素已由地脉之中溢流而出，会以某人的意志为壤，结出辉煌的花蕾。与其接触，获取丰厚的馈藏吧,
12,商城,Ui_SystemOpenIcon_Mall,商城已解锁。将积攒的星尘和星光凝聚，变成新的力量吧,
13,角色装扮,Ui_SystemOpenIcon_Appearance,角色装扮已解锁。收集珍稀的风之翼与衣装，打扮角色吧,
14,城市声望,Ui_SystemOpenIcon_Reputation,城市声望已解锁。在各个城市中，找到指定的人物，领取声望任务吧,
15,忍冬之树·苏醒,Ui_SystemOpenIcon_Eldertree,本应永远沉眠于冰雪之下的古树再度发出赤红的新芽。以散落龙脊雪山各处的「绯红玉髓」供奉它，或许也能得到公正的报偿吧…,
16,尘歌壶·解锁,Ui_SystemOpenIcon_Homeworld,这盏名为「尘歌壶」的神奇茶壶里似乎别有洞天。如果亲身进入壶内，说不定就能见识到其中奥妙。,
17,传说任务,Ui_SystemOpenIcon_LegendQuest,无论是相识已久的好友，还是初次邂逅的某人，了解他们的最好方法，或许就是与之共度时光。解锁并进行他们的传说任务与邀约事件，加深与他们的关系吧,
18,神樱眷顾,Ui_SystemOpenIcon_Oraionokami,将「雷之印」交给鸣神大社的神樱，获取它的眷顾吧,
19,钓鱼,Ui_SystemOpenIcon_Fishing,优良的生态孕育了丰富多样的鱼类，如今它们已经巡游到了大陆各处水域。带上钓竿，填好鱼饵，准备将它们一网打尽吧！,
20,流明石触媒强化,Ui_SystemOpenIcon_LuminanceStone,收集「流明晶石」与「流明石原矿」，能够强化流明石触媒的效果,
21,桓那兰那的梦之树,Ui_SystemOpenIcon_Vasara01,将冒险中收集到的「草之印」交给桓那兰那深处的梦之树，获取森林的青睐吧,
22,（test）七圣召唤,Ui_SystemOpenIcon_Gcg,（test）完成各种挑战，成为独当一面的牌手吧,
