天赋ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	前置星命	激活消耗主材料ID	激活消耗主材料数量	激活消耗副材料ID	激活消耗副材料数量
21	Ayaka_Constellation_1					0.5	0.3	0.1					0	1102	1		
22	Ayaka_Constellation_2					0.2							21	1102	1		
23	Ayaka_Constellation_3												22	1102	1		
24	Ayaka_Constellation_4					0.3	6						23	1102	1		
25	Ayaka_Constellation_5												24	1102	1		
26	Ayaka_Constellation_6					10	2.98						25	1102	1		
31	Qin_Talent_1					0.4								1103	1		
32	Qin_Talent_2					0.15	0.15	15					31	1103	1		
33	Qin_Talent_3												32	1103	1		
34	Qin_Talent_4					0.4							33	1103	1		
35	Qin_Talent_5												34	1103	1		
36	Qin_Talent_6					0.35							35	1103	1		
41	Lisa_Constellation_1												0	1106	1		
42	Lisa_Constellation_2												41	1106	1		
43	Lisa_Constellation_3												42	1106	1		
44	Lisa_Constellation_4												43	1106	1		
45	Lisa_Constellation_5												44	1106	1		
46	Lisa_Constellation_6												45	1106	1		
71	Player_Wind_Constellation_1												0	915	1		
72	Player_Wind_Constellation_2	23	0.16										71	915	1		
73	Player_Wind_Constellation_3												72	915	1		
74	Player_Wind_Constellation_4												73	915	1		
75	Player_Wind_Constellation_5												74	915	1		
76	Player_Wind_Constellation_6												75	915	1		
91	Player_Rock_Constellation_1												0	917	1		
92	Player_Rock_Constellation_2												91	917	1		
93	Player_Rock_Constellation_3												92	917	1		
94	Player_Rock_Constellation_4												93	917	1		
95	Player_Rock_Constellation_5												94	917	1		
96	Player_Rock_Constellation_6												95	917	1		
101	Player_Electric_Constellation_1												0	914	1		
102	Player_Electric_Constellation_2					8	-0.15						101	914	1		
103	Player_Electric_Constellation_3												102	914	1		
104	Player_Electric_Constellation_4					0.35							103	914	1		
105	Player_Electric_Constellation_5												104	914	1		
106	Player_Electric_Constellation_6					2	1						105	914	1		
111	Player_Grass_Constellation_1					3.5							0	913	1		
112	Player_Grass_Constellation_2					3							111	913	1		
113	Player_Grass_Constellation_3												112	913	1		
114	Player_Grass_Constellation_4												113	913	1		
115	Player_Grass_Constellation_5												114	913	1		
116	Player_Grass_Constellation_6					0.12							115	913	1		
141	Barbara_Constellation_1												0	1114	1		
142	Barbara_Constellation_2												141	1114	1		
143	Barbara_Constellation_3												142	1114	1		
144	Barbara_Constellation_4												143	1114	1		
145	Barbara_Constellation_5												144	1114	1		
146	Barbara_Constellation_6												145	1114	1		
151	Kaeya_Constellation_1												0	1115	1		
152	Kaeya_Constellation_2												151	1115	1		
153	Kaeya_Constellation_3												152	1115	1		
154	Kaeya_Constellation_4												153	1115	1		
155	Kaeya_Constellation_5												154	1115	1		
156	Kaeya_Constellation_6												155	1115	1		
161	Diluc_Talent_1					0.15								1116	1		
162	Diluc_Talent_2					0.1	0.05	10	3	1.5			161	1116	1		
163	Diluc_Talent_3												162	1116	1		
164	Diluc_Talent_4					0.4							163	1116	1		
165	Diluc_Talent_5												164	1116	1		
166	Diluc_Talent_6					6	0.3	0.3					165	1116	1		
201	Razor_Constellation_1												0	1120	1		
202	Razor_Constellation_2												201	1120	1		
203	Razor_Constellation_3												202	1120	1		
204	Razor_Constellation_4												203	1120	1		
205	Razor_Constellation_5												204	1120	1		
206	Razor_Constellation_6												205	1120	1		
211	Ambor_Talent_212					0.2							0	1121	1		
212	Ambor_Talent_213					2							211	1121	1		
213	Ambor_Talent_E_Levelup												212	1121	1		
214	Ambor_Talent_211												213	1121	1		
215	Ambor_Talent_S_Levelup												214	1121	1		
216	Ambor_Talent_216					0.15	0.15	10					215	1121	1		
221	Venti_Constellation_1												0	1122	1		
222	Venti_Constellation_2												221	1122	1		
223	Venti_Constellation_3												222	1122	1		
224	Venti_Constellation_4												223	1122	1		
225	Venti_Constellation_5												224	1122	1		
226	Venti_Constellation_6												225	1122	1		
231	Xiangling_Talent_231					0.15	6						0	1123	1		
232	Xiangling_Talent_232					2	2	0.75					231	1123	1		
233	Xiangling_Talent_E_Levelup												232	1123	1		
234	Xiangling_Talent_234					0.4							233	1123	1		
235	Xiangling_Talent_S_Levelup												234	1123	1		
236	Xiangling_Talent_236					0.15							235	1123	1		
241	Beidou_Constellation_1					0.16							0	1124	1		
242	Beidou_Constellation_2												241	1124	1		
243	Beidou_Constellation_3												242	1124	1		
244	Beidou_Constellation_4					0.2	10	0.1					243	1124	1		
245	Beidou_Constellation_5												244	1124	1		
246	Beidou_Constellation_6					0.15							245	1124	1		
251	Xingqiu_Constellation_1												0	1125	1		
252	Xingqiu_Constellation_2												251	1125	1		
253	Xingqiu_Constellation_3												252	1125	1		
254	Xingqiu_Constellation_4												253	1125	1		
255	Xingqiu_Constellation_5												254	1125	1		
256	Xingqiu_Constellation_6												255	1125	1		
261	Xiao_Constellation_1												0	1126	1		
262	Xiao_Constellation_2					0.25							261	1126	1		
263	Xiao_Constellation_3												262	1126	1		
264	Xiao_Constellation_4					0.5	1						263	1126	1		
265	Xiao_Constellation_5												264	1126	1		
266	Xiao_Constellation_6					1							265	1126	1		
271	Ningguang_Constellation_1												0	1127	1		
272	Ningguang_Constellation_2												271	1127	1		
273	Ningguang_Constellation_3												272	1127	1		
274	Ningguang_Constellation_4												273	1127	1		
275	Ningguang_Constellation_5												274	1127	1		
276	Ningguang_Constellation_6												275	1127	1		
291	Klee_Constellation_1												0	1129	1		
292	Klee_Constellation_2												291	1129	1		
293	Klee_Constellation_3												292	1129	1		
294	Klee_Constellation_4												293	1129	1		
295	Klee_Constellation_5												294	1129	1		
296	Klee_Constellation_6												295	1129	1		
301	Zhongli_Constellation_1												0	1130	1		
302	Zhongli_Constellation_2												301	1130	1		
303	Zhongli_Constellation_3												302	1130	1		
304	Zhongli_Constellation_4					0.2	2						303	1130	1		
305	Zhongli_Constellation_5												304	1130	1		
306	Zhongli_Constellation_6					0.4	0.08						305	1130	1		
311	Fischl_Talent_331					0.22							0	1131	1		
312	Fischl_Talent_332					2							311	1131	1		
313	Fischl_Talent_S_Levelup												312	1131	1		
314	Fischl_Talent_334					2.22	0.2						313	1131	1		
315	Fischl_Talent_E_Levelup												314	1131	1		
316	Fischl_Talent_336					0.3	2						315	1131	1		
321	Bennett_Constellation_1					0.2							0	1132	1		
322	Bennett_Constellation_2					0.7	0.3						321	1132	1		
323	Bennett_Constellation_3												322	1132	1		
324	Bennett_Constellation_4					1.35							323	1132	1		
325	Bennett_Constellation_5												324	1132	1		
326	Bennett_Constellation_6					0.15							325	1132	1		
331	Tartaglia_Constellation_1												0	1133	1		
332	Tartaglia_Constellation_2					4							331	1133	1		
333	Tartaglia_Constellation_3												332	1133	1		
334	Tartaglia_Constellation_4					4							333	1133	1		
335	Tartaglia_Constellation_5												334	1133	1		
336	Tartaglia_Constellation_6												335	1133	1		
341	Noel_Talent_341					1							0	1134	1		
342	Noel_Talent_342					-0.2	0.15						341	1134	1		
343	Noel_Talent_S_Levelup												342	1134	1		
344	Noel_Talent_344					4							343	1134	1		
345	Noel_Talent_E_Levelup												344	1134	1		
346	Noel_Talent_346					0.5	10						345	1134	1		
351	Qiqi_Constellation_1												0	1135	1		
352	Qiqi_Constellation_2												351	1135	1		
353	Qiqi_Constellation_3												352	1135	1		
354	Qiqi_Constellation_4												353	1135	1		
355	Qiqi_Constellation_5												354	1135	1		
356	Qiqi_Constellation_6												355	1135	1		
361	Chongyun_Talent_361					0.5							0	1136	1		
362	Chongyun_Talent_362					0.15							361	1136	1		
363	Chongyun_ElementBurst_Up												362	1136	1		
364	Chongyun_Talent_22					1	2						363	1136	1		
365	Chongyun_ElementSkill_Up												364	1136	1		
366	Chongyun_Talent_366					0.15							365	1136	1		
371	Ganyu_Constellation_1					-0.15	6	2					0	1137	1		
372	Ganyu_Constellation_2												371	1137	1		
373	Ganyu_Constellation_3												372	1137	1		
374	Ganyu_Constellation_4												373	1137	1		
375	Ganyu_Constellation_5												374	1137	1		
376	Ganyu_Constellation_6												375	1137	1		
381	Albedo_Constellation_1					1.2							0	1138	1		
382	Albedo_Constellation_2					0.3							381	1138	1		
383	Albedo_Constellation_3												382	1138	1		
384	Albedo_Constellation_4												383	1138	1		
385	Albedo_Constellation_5												384	1138	1		
386	Albedo_Constellation_6												385	1138	1		
391	Diona_Constellation_1					15							0	1139	1		
392	Diona_Constellation_2					0.15	0.15	0.5	5				391	1139	1		
393	Diona_Constellation_3												392	1139	1		
394	Diona_Constellation_4												393	1139	1		
395	Diona_Constellation_5												394	1139	1		
396	Diona_Constellation_6					0.3	200						395	1139	1		
411	Mona_Talent_01					0.15	0.15	0.15	0.15	5	8		0	1141	1		
412	Mona_Talent_02					0.2	1	5					411	1141	1		
413	Mona_Talent_03												412	1141	1		
414	Mona_Talent_04					-0.15							413	1141	1		
415	Mona_Talent_05												414	1141	1		
416	Mona_Talent_06					1	0.6	1.8	8				415	1141	1		
421	Keqing_Constellation_1					0.5							0	1142	1		
422	Keqing_Constellation_2					0.5	5						421	1142	1		
423	Keqing_Constellation_3												422	1142	1		
424	Keqing_Constellation_4					10	0.25						423	1142	1		
425	Keqing_Constellation_5												424	1142	1		
426	Keqing_Constellation_6					0.06	8						425	1142	1		
431	Sucrose_Constellation_1												0	1143	1		
432	Sucrose_Constellation_2					2							431	1143	1		
433	Sucrose_Constellation_3												432	1143	1		
434	Sucrose_Constellation_4												433	1143	1		
435	Sucrose_Constellation_5												434	1143	1		
436	Sucrose_Constellation_6					0.2							435	1143	1		
441	Xinyan_Constellation_1					0.12	5						0	1144	1		
442	Xinyan_Constellation_2					1							441	1144	1		
443	Xinyan_Constellation_3												442	1144	1		
444	Xinyan_Constellation_4					-0.15	12						443	1144	1		
445	Xinyan_Constellation_5												444	1144	1		
446	Xinyan_Constellation_6					-0.3	0.5						445	1144	1		
451	Rosaria_Constellation_1					0.1	0.1	4					0	1145	1		
452	Rosaria_Constellation_2					4							451	1145	1		
453	Rosaria_Constellation_3												452	1145	1		
454	Rosaria_Constellation_4					5							453	1145	1		
455	Rosaria_Constellation_5												454	1145	1		
456	Rosaria_Constellation_6					0.2	10	1					455	1145	1		
461	Hutao_Constellation_1												0	1146	1		
462	Hutao_Constellation_2					0.1							461	1146	1		
463	Hutao_Constellation_3												462	1146	1		
464	Hutao_Constellation_4					0.12	15						463	1146	1		
465	Hutao_Constellation_5												464	1146	1		
466	Hutao_Constellation_6					0.25	10	2	1				465	1146	1		
471	Kazuha_Constellation_1												0	1147	1		
472	Kazuha_Constellation_2					200							471	1147	1		
473	Kazuha_Constellation_3												472	1147	1		
474	Kazuha_Constellation_4					3	4	2	0.75				473	1147	1		
475	Kazuha_Constellation_5												474	1147	1		
476	Kazuha_Constellation_6					0.002	5						475	1147	1		
481	Feiyan_Constellation_1					-0.1	-0.1						0	1148	1		
482	Feiyan_Constellation_2					0.5	0.2						481	1148	1		
483	Feiyan_Constellation_3												482	1148	1		
484	Feiyan_Constellation_4					0.45							483	1148	1		
485	Feiyan_Constellation_5												484	1148	1		
486	Feiyan_Constellation_6					1							485	1148	1		
491	Yoimiya_Constellation_1					4	0.2	20					0	1149	1		
492	Yoimiya_Constellation_2					0.25	6						491	1149	1		
493	Yoimiya_Constellation_3												492	1149	1		
494	Yoimiya_Constellation_4					1.2							493	1149	1		
495	Yoimiya_Constellation_5												494	1149	1		
496	Yoimiya_Constellation_6					0.5	0.6						495	1149	1		
501	Tohma_Constellation_1					3	3	20					0	1150	1		
502	Tohma_Constellation_2					3							501	1150	1		
503	Tohma_Constellation_3												502	1150	1		
504	Tohma_Constellation_4					15							503	1150	1		
505	Tohma_Constellation_5												504	1150	1		
506	Tohma_Constellation_6					0.15	6						505	1150	1		
511	Eula_Constellation_1					0.3	6	18					0	1151	1		
512	Eula_Constellation_2												511	1151	1		
513	Eula_Constellation_3												512	1151	1		
514	Eula_Constellation_4					0.25							513	1151	1		
515	Eula_Constellation_5												514	1151	1		
516	Eula_Constellation_6					5	0.5						515	1151	1		
521	Shougun_Constellation_1					0.8	0.2						0	1152	1		
522	Shougun_Constellation_2					0.6							521	1152	1		
523	Shougun_Constellation_3												522	1152	1		
524	Shougun_Constellation_4					0.3	10						523	1152	1		
525	Shougun_Constellation_5												524	1152	1		
526	Shougun_Constellation_6					1	1						525	1152	1		
531	Sayu_Constellation_1												0	1153	1		
532	Sayu_Constellation_2					0.033	20						531	1153	1		
533	Sayu_Constellation_3												532	1153	1		
534	Sayu_Constellation_4					1.2	2						533	1153	1		
535	Sayu_Constellation_5												534	1153	1		
536	Sayu_Constellation_6					0.002	4	3	6000				535	1153	1		
541	Kokomi_Constellation_1					0.3							0	1154	1		
542	Kokomi_Constellation_2					0.5	0.045	0.006					541	1154	1		
543	Kokomi_Constellation_3												542	1154	1		
544	Kokomi_Constellation_4					0.1	0.8						543	1154	1		
545	Kokomi_Constellation_5												544	1154	1		
546	Kokomi_Constellation_6					0.8	0.4	4					545	1154	1		
551	Gorou_Constellation_1					-2	10						0	1155	1		
552	Gorou_Constellation_2												551	1155	1		
553	Gorou_Constellation_3												552	1155	1		
554	Gorou_Constellation_4					0.5							553	1155	1		
555	Gorou_Constellation_5												554	1155	1		
556	Gorou_Constellation_6					0.1	0.2	0.4	12				555	1155	1		
561	Sara_Constellation_1					1	3						0	1156	1		
562	Sara_Constellation_2					0.3							561	1156	1		
563	Sara_Constellation_3												562	1156	1		
564	Sara_Constellation_4												563	1156	1		
565	Sara_Constellation_5												564	1156	1		
566	Sara_Constellation_6					0.6							565	1156	1		
571	Itto_Constellation_1					2	1	0.5	3				0	1157	1		
572	Itto_Constellation_2					1.5	6						571	1157	1		
573	Itto_Constellation_3												572	1157	1		
574	Itto_Constellation_4					0.2	0.2	10					573	1157	1		
575	Itto_Constellation_5												574	1157	1		
576	Itto_Constellation_6					0.7	0.5						575	1157	1		
581	Yae_Constellation_1					8							0	1158	1		
582	Yae_Constellation_2					2.56	0.6	1					581	1158	1		
583	Yae_Constellation_3												582	1158	1		
584	Yae_Constellation_4					0.2	5						583	1158	1		
585	Yae_Constellation_5												584	1158	1		
586	Yae_Constellation_6					0.6							585	1158	1		
591	Heizo_Constellation_1					5	0.15	10					0	1159	1		
592	Heizo_Constellation_2												591	1159	1		
593	Heizo_Constellation_3												592	1159	1		
594	Heizo_Constellation_4					9	1.5						593	1159	1		
595	Heizo_Constellation_5												594	1159	1		
596	Heizo_Constellation_6					0.04	0.32						595	1159	1		
601	Yelan_Constellation_1												0	1160	1		
602	Yelan_Constellation_2					0.14	1.8						601	1160	1		
603	Yelan_Constellation_3												602	1160	1		
604	Yelan_Constellation_4					0.1	25	4					603	1160	1		
605	Yelan_Constellation_5												604	1160	1		
606	Yelan_Constellation_6					5	20	1.56					605	1160	1		
621													0	1162	1		
622													621	1162	1		
623													622	1162	1		
624													623	1162	1		
625													624	1162	1		
626													625	1162	1		
631	Shenhe_Constellation_1												0	1163	1		
632	Shenhe_Constellation_2					6							631	1163	1		
633	Shenhe_Constellation_3												632	1163	1		
634	Shenhe_Constellation_4					0.05	50						633	1163	1		
635	Shenhe_Constellation_5												634	1163	1		
636	Shenhe_Constellation_6												635	1163	1		
641	Yunjin_Constellation_1												0	1164	1		
642	Yunjin_Constellation_2					0.15	12						641	1164	1		
643	Yunjin_Constellation_3												642	1164	1		
644	Yunjin_Constellation_4					0.2	12						643	1164	1		
645	Yunjin_Constellation_5												644	1164	1		
646	Yunjin_Constellation_6					0.12							645	1164	1		
651	Shinobu_Constellation_1												0	1165	1		
652	Shinobu_Constellation_2					3							651	1165	1		
653	Shinobu_Constellation_3												652	1165	1		
654	Shinobu_Constellation_4					0.097	5						653	1165	1		
655	Shinobu_Constellation_5												654	1165	1		
656	Shinobu_Constellation_6					0.25	15	150	60				655	1165	1		
661	Ayato_Constellation_1					0.5	0.4						0	1166	1		
662	Ayato_Constellation_2					1	0.5						661	1166	1		
663	Ayato_Constellation_3												662	1166	1		
664	Ayato_Constellation_4					0.15	15						663	1166	1		
665	Ayato_Constellation_5												664	1166	1		
666	Ayato_Constellation_6					4.5							665	1166	1		
671	Collei_Constellation_1					0.2							0	1167	1		
672	Collei_Constellation_2					3	0.4	3					671	1167	1		
673	Collei_Constellation_3												672	1167	1		
674	Collei_Constellation_4					60	12						673	1167	1		
675	Collei_Constellation_5												674	1167	1		
676	Collei_Constellation_6					2							675	1167	1		
681	Dori_Constellation_1												0	1168	1		
682	Dori_Constellation_2					0.5							681	1168	1		
683	Dori_Constellation_3												682	1168	1		
684	Dori_Constellation_4					0.5	0.3						683	1168	1		
685	Dori_Constellation_5												684	1168	1		
686	Dori_Constellation_6					3	0.04						685	1168	1		
691	Tighnari_Constellation_1					0.15							0	1169	1		
692	Tighnari_Constellation_2					0.2	6						691	1169	1		
693	Tighnari_Constellation_3												692	1169	1		
694	Tighnari_Constellation_4					60	8						693	1169	1		
695	Tighnari_Constellation_5												694	1169	1		
696	Tighnari_Constellation_6					3	1.5						695	1169	1		
701	Nilou_Constellation_1					0.65	6						0	1170	1		
702	Nilou_Constellation_2					0.35	0.35	10					701	1170	1		
703	Nilou_Constellation_3												702	1170	1		
704	Nilou_Constellation_4					15	0.5	8					703	1170	1		
705	Nilou_Constellation_5												704	1170	1		
706	Nilou_Constellation_6					0.006	0.012	0.3	0.6				705	1170	1		
711	Cyno_Constellation_1					0.2	10						0	1171	1		
712	Cyno_Constellation_2					0.1	4	5	0.1				711	1171	1		
713	Cyno_Constellation_3												712	1171	1		
714	Cyno_Constellation_4					3	5						713	1171	1		
715	Cyno_Constellation_5												714	1171	1		
716	Cyno_Constellation_6					4	8	8	0.4				715	1171	1		
721	Candace_Constellation_1					3							0	1172	1		
722	Candace_Constellation_2					0.2	15						721	1172	1		
723	Candace_Constellation_3												722	1172	1		
724	Candace_Constellation_4												723	1172	1		
725	Candace_Constellation_5												724	1172	1		
726	Candace_Constellation_6					0.15	2.3						725	1172	1		
731	Nahida_Constellation_1												0	1173	1		
732	Nahida_Constellation_2					0.2	0.3	8					731	1173	1		
733	Nahida_Constellation_3												732	1173	1		
734	Nahida_Constellation_4					100	120	140	160				733	1173	1		
735	Nahida_Constellation_5												734	1173	1		
736	Nahida_Constellation_6					2	4	6	10				735	1173	1		
741	Layla_Constellation_1					0.2	0.35	12					0	1174	1		
742	Layla_Constellation_2					1							741	1174	1		
743	Layla_Constellation_3												742	1174	1		
744	Layla_Constellation_4					0.05	3	0.05					743	1174	1		
745	Layla_Constellation_5												744	1174	1		
746	Layla_Constellation_6					0.2	0.4						745	1174	1		
751	Wanderer_Constellation_1					0.1							0	1174	1		
