对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]1参数3,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]2参数3,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2,[完成执行]1参数3,[完成执行]2类型,[完成执行]2参数1,[完成执行]2参数2,[完成执行]2参数3
1,2,1,,,,,,,,,,,,,3,,101,,9004,,,,,,,,,,,
2,2,1,,,,,,,,,,,,,3,,201,,9005,,,,,,,,,,,
3,2,1,,,,,,,,,,,,,3,,301,,9006,,,,,,,,,,,
4,2,1,,,,,,,,,,,,,3,,401,,9007,,,,,,,,,,,
34701,2,1,,,,,,,,,,,,,3,,3470101,,1246,,,,,,,,,,,
34702,2,1,,,,,,,,,,,,,3,,3470201,,1247,,,,,,,,,,,
34703,2,1,,,,,,,,,,,,,3,,3470301,,1248,,,,,,,,,,,
34704,2,1,,,,,,,,,,,,,3,,3470401,,1249,,,,,,,,,,,
34705,2,1,,,,,,,,,,,,,3,,3470501,,1250,,,,,,,,,,,
34706,2,1,,,,,,,,,,,,,3,,3470601,,1251,,,,,,,,,,,
34707,2,1,,,,,,,,,,,,,3,,3470701,,1252,,,,,,,,,,,
34708,2,1,,,,,,,,,,,,,3,,3470801,,1253,,,,,,,,,,,
34709,2,1,,,,,,,,,,,,,3,,3470901,,1254,,,,,,,,,,,
34710,2,1,,,,,,,,,,,,,3,,3471001,,1255,,,,,,,,,,,
34711,2,1,,,,,,,,,,,,,3,,3471101,,1513,,,,,,,,,,,
34712,2,1,,,,,,,,,,,,,3,,3471201,,1514,,,,,,,,,,,
34713,2,1,,,,,,,,,,,,,3,,3471301,,20049,,,,,,,,,,,
34714,2,1,,,,,,,,,,,,,3,,3471401,,20050,,,,,,,,,,,
34715,2,1,,,,,,,,,,,,,3,,3471501,,20051,,,,,,,,,,,
34716,2,1,,,,,,,,,,,,,3,,3471601,,20052,,,,,,,,,,,
34717,2,1,,,,,,,,,,,,,3,,3471701,,20053,,,,,,,,,,,
34718,2,1,,,,,,,,,,,,,3,,3471801,,20054,,,,,,,,,,,
34719,2,1,,,,,,,,,,,,,3,,3471901,,20055,,,,,,,,,,,
34720,2,1,,,,,,,,,,,,,3,,3472001,,20059,,,,,,,,,,,
34721,2,1,,,,,,,,,,,,,3,,3472101,,20060,,,,,,,,,,,
34722,2,1,,,,,,,,,,,,,3,,3472201,,20061,,,,,,,,,,,
34723,2,1,,,,,,,,,,,,,3,,3472301,,20062,,,,,,,,,,,
34724,2,1,,,,,,,,,,,,,3,,3472401,,20063,,,,,,,,,,,
34725,2,1,,,,,,,,,,,,,3,,3472501,,20064,,,,,,,,,,,
34726,2,1,,,,,,,,,,,,,3,,3472601,,20065,,,,,,,,,,,
34727,2,1,,,,,,,,,,,,,3,,3472701,,20066,,,,,,,,,,,
34728,2,1,,,,,,,,,,,,,3,,3472801,,20067,,,,,,,,,,,
34729,2,1,,,,,,,,,,,,,3,,3472901,,20068,,,,,,,,,,,
34730,2,1,,,,,,,,,,,,,3,,3473001,,10252,,,,,,,,,,,
34731,2,1,,,,,,,,,,,,,3,,3473101,,20083,,,,,,,,,,,
34732,2,1,,21,0,,,,,,,,,,3,,3473201,,1269,,,,,,,,,,,
34733,2,1,,21,0,,,,,,,,,,3,,3473301,,1270,,,,,,,,,,,
34734,2,1,,21,0,,,,,,,,,,3,,3473401,,1271,,,,,,,,,,,
34735,2,1,,,,,,,,,,,,,3,34736,3473501,,20115,,,,,,,,,,,
34736,,1,1,1,7081201,3,,1,7081205,2,,,,,3,,3473601,,20115,,,,,,,,,,,
34737,2,1,,,,,,,,,,,,,3,34738,3473701,,20116,,,,,,,,,,,
34738,,1,,1,7081201,3,,,,,,,,,3,,3473801,,20116,,,,,,,,,,,
34739,2,1,,,,,,,,,,,,,3,34740,3473901,,20117,,,,,,,,,,,
34740,,1,,1,7081201,3,,,,,,,,,3,,3474001,,20117,,,,,,,,,,,
34741,2,1,,,,,,,,,,,,,3,34742,3474101,,20118,,,,,,,,,,,
34742,,1,,1,7081201,3,,,,,,,,,3,,3474201,,20118,,,,,,,,,,,
34743,2,1,,,,,,,,,,,,,3,,3474301,,20121,,,,,,,,,,,
34744,2,1,,,,,,,,,,,,,3,,3474401,,20122,,,,,,,,,,,
34745,2,1,,,,,,,,,,,,,3,,3474501,,20123,,,,,,,,,,,
34746,2,1,,,,,,,,,,,,,3,,3474601,,20124,,,,,,,,,,,
34747,2,1,,,,,,,,,,,,,3,,3474701,,20125,,,,,,,,,,,
34748,2,1,,,,,,,,,,,,,3,,3474801,,20126,,,,,,,,,,,
34749,2,1,,,,,,,,,,,,,3,,3474901,,20137,,,,,,,,,,,
34750,2,1,,21,1,,,,,,,,,,3,,3475001,,1269,,,,,,,,,,,
34751,2,1,,21,1,,,,,,,,,,3,,3475101,,1270,,,,,,,,,,,
34752,2,1,,21,1,,,,,,,,,,3,,3475201,,1271,,,,,,,,,,,
34753,2,1,,,,,,,,,,,,,3,,3475301,,20142,,,,,,,,,,,
34754,2,1,,,,,,,,,,,,,3,,3475401,,20143,,,,,,,,,,,
34755,2,1,,,,,,,,,,,,,3,,3475501,,20144,,,,,,,,,,,
34756,2,1,,,,,,,,,,,,,3,,3475601,,20145,,,,,,,,,,,
34757,2,1,,,,,,,,,,,,,3,,3475701,,20146,,,,,,,,,,,
34758,2,1,,,,,,,,,,,,,3,,3475801,,20147,,,,,,,,,,,
34759,2,1,,,,,,,,,,,,,3,,3475901,,20148,,,,,,,,,,,
34760,2,1,,,,,,,,,,,,,3,,3476001,,20149,,,,,,,,,,,
34761,2,1,,,,,,,,,,,,,3,,3476101,,20150,,,,,,,,,,,
34762,2,1,,,,,,,,,,,,,3,,3476201,,20151,,,,,,,,,,,
34763,2,1,,1,7101101,2,,,,,,,,,3,,3476301,,20114,71011,,,,,,,,,,
34764,2,1,,,,,,,,,,,,,3,,3476401,,20153,,,,,,,,,,,
34765,2,1,,,,,,,,,,,,,3,,3476501,,20154,,,,,,,,,,,
34766,2,1,,,,,,,,,,,,,3,,3476601,,20155,,,,,,,,,,,
34767,2,1,,,,,,,,,,,,,3,,3476701,,20156,,,,,,,,,,,
34768,2,1,1,1,7101101,3,,1,7101102,2,,,,,3,,3476801,,1005,71011,,,,,,,,,,
34769,2,1,,,,,,,,,,,,,3,,3476901,,20152,,,,,,,,,,,
34770,2,1,,,,,,,,,,,,,3,,3477001,,20218,,,,,,,,,,,
34771,2,1,,1,1200708,2,,,,,,,,,3,34772#34773#34774,3477101,,20302,,,,,,,,,,,
34772,,1,,1,1200708,2,,,,,,,,,3,,3477201,,20302,,,,,,,,,,,
34773,,1,,1,1200708,2,,,,,,,,,3,34775#34776#34777,3477301,,20302,,,,,,,,,,,
34774,,1,,1,1200708,2,,,,,,,,,3,,3477401,,20302,,,,,,,,,,,
34775,,1,,1,1200708,2,,,,,,,,,3,,3477501,,20302,,,,,,,,,,,
34776,,1,,1,1200708,2,,,,,,,,,3,34778#34779#34780,3477601,,20302,,,,,,,,,,,
