对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
80001	2	1	1	1	80001	2																																		5		8000101		96	800																																
80003	2	1	1	1	80003	2																																		5		8000301		96	800																																
80004	2	1		77	1																																			5		8000401		1005	800																																
80005	2	1		77	2																																			5		8000501		1005	800																																
80006	2	1	1	1	80013	2				7	2	3																														8000601		1005	800																																
80007	2	1	2	1	80014	2				1	80015	2																												5		8000701		1005	800																																
80008	2	1		1	80016	2																																		5		8000801		1005	800			13	1004	Q370AmborInside																											
80009	2	1		1	80019	2																																		5	80010,80011,80012,80013	8000901		1005	800																																
80010		1		1	80019	2																																		5		8001001		1005	800																																
80011		1		1	80019	2																																		5		8001101		1005	800																																
80012		1		1	80019	2																																		5		8001201		1005	800																																
80013		1		1	80019	2																																		5		8001301		1005	800																																
80014		1		1	80019	2																																		5		8001401		1005	800																																
80015		1		1	80019	2																																		5		8001501		1005	800																																
80016		1		1	80019	2																																		5		8001601		1005	800																																
80017		1		1	80019	2																																		5		8001701		1005	800																																
80018		1		1	80019	2																																		5	80009	8001401		1005	800																																
80019		1		1	80019	2																																		5	80009	8001501		1005	800																																
80020		1		1	80019	2																																		5	80009	8001601		1005	800																																
80021		1		1	80019	2																																		5	80009	8001701		1005	800																																
80022	2	1	2	1	80021	2				1	80023																													5		8002201		1001	800																																
80023	2	1		1	80022	2				1	80024																															8002301		1001	800																																
80024	2	1		1	80026	2																																				8002401		4184	800																																
80025	1	1	2	1	80032	2				1	80029	2																												5		8002501		1005	800																																
101902	2	1		1	101902	2																																		5		10190201		1030	1019																																
101903	2	1		1	101903	2																																		5		10190301		1030	1019																																
101904	2	1		1	101904	2																																		5		10190401		1030	1019																																
101905	2	1		1	101905	2																																		5		10190501		1048	1019																																
101990	2	1		1	99902	3																																				10199001																																			
102701	2	1		1	102701	2																																		5		10270101		1044	1027																																
102702	2	1		1	102701	2																																		5		10270201		1030	1027																																
102703	2	1		1	102701	2																																		5		10270301		1048	1027																																
102804	2	1		1	102804	2																																		5		10280401		1030	1028																																
102806	2	1		1	102807	2																																		5		10280601		1030	1028																																
102807	2	1		1	102807	2																																		5		10280701		1048	1028																																
102808	2	1		1	102807	2																																		5		10280801		1044	1028																																
102901	2	1		1	102935	2																																		5		10290101		1030	1029																																
102904	2	1		1	102904	2																																		5		10290401		1030	1029																																
102906	2	1		1	102906	2																																		5		10290601		1005,1044,1049,1030,1048,12577,12578,12579,12588	1029																																
102910	2	1		1	102910	2																																		5		10291001		1030	1029																																
102911	2	1	2	1	102911	2				1	102916	2				1	102912	2				1	102917	2																5		10291101		1049	1029																																
102912	2	1		1	102918	2																																		5		10291201		1030	1029																																
102914	2	1		1	102913	2																																		5		10291401		1030	1029																																
102915	2	1		1	102915	2																																		5		10291501		10204	1029																																
102920	2	1	2	1	102911	2				1	102916	2				1	102912	2				1	102917	2																5		10292001		1044	1029																																
102921	2	1	2	1	102911	2				1	102916	2				1	102912	2				1	102917	2																5		10292101		1048	1029																																
102930	2	1		1	102914	2																																		5		10293001		1030	1029																																
102931	2	1		1	102915	2																																		5		10293101		1048	1029																																
102932	2	1		1	102923	2																																		5		10293201		1030,1048	1029																																
102933	2	1	2	1	102923	2				1	102915	2																												5		10293301		1044	1029																																
102934	2	1	2	1	102923	2				1	102915	2																												5		10293401		1049	1029																																
102935	2	1		1	102923	2																																		5		10293501		10204	1029																																
103001	2	1		1	103001	2																																		5		10300101		1005	1030																																
103002	2	1		1	103002	2																																		5		10300201		1049	1030																																
103004				1	99902	2																																		5		10300401		1030	1030																																
103005		1		1	99902	3																																		5		10300501		10204	1030																																
103006	2	1		1	103003	2																																		5		10300601		1049	1030																																
103007	2	1		1	103007	2																																		5		10300701		1030	1030																																
103009	2	1		1	103009	2																																		5		10300901		1030	1030																																
103012	2	1		1	103012	2																																		5		10301201		1048	1030																																
103014	2	1		1	103014	2																																		5		10301401		1048	1030																																
103017	2	1		1	103017	2																																		5		10301701		10204	1030																																
103019	2	1		1	103019	2																																		5		10301901		10204	1030																																
103021	2	1		1	103021	2																																		5		10302101		1030	1030																																
103023	2	1		1	103023	2																																		5		10302301		1030	1030																																
103026	2	1		1	103026	2																																		5		10302601		1030	1030																																
103028	2	1		1	103027	2																																		5		10302801		10204	1030																																
103029	2	1		1	103027	2																																		5		10302901		1030	1030																																
103035	2	1		1	103027	2																																		5		10303501		1048	1030																																
103040	2	1		1	103006	2																																		5		10304001		1030	1030																																
103101	2	1		1	103101	2																																		5		10310101		1048	1031																																
103102	2	1		1	103102	2																																		5		10310201		1049	1031																																
103104	2	1		1	103104	2																																		5		10310401		10204	1031																																
103106	2	1		1	103106	2																																		5		10310601		10204	1031																																
103190		1		1	99902	3																																				10319001																																			
103201	2	1		1	103201	2																																		5		10320101		1030	1032																																
103202	2	1		1	103201	2																																		5		10320201		1044	1032																																
103203	2	1		1	103201	2																																		5		10320301		1049	1032																																
103204	2	1		1	103201	2																																		5		10320401		10204	1032																																
103301	2	1		1	103301	2																																		5		10330101		10204	1033																																
200002	2	1		1	200002	2																																		5		20000201		1005	2000																																
200003	2	1	4	1	200003	2				41	1101401	1				1	1101401	1				1	1101401	2																5		20000301		207701,1005	2000																																
200004	2	1	4	1	200004	2				41	1101401	1				1	1101401	1				1	1101401	2																5		20000401		1031,1005,1032	2000																																
200005	2	1		1	200005	2																																		5		20000501		1005,10409																																	
200006	2	1		1	200006	2																																		5		20000601		1005,10410,10411																																	
200007	2	1		1	200007	2																																		5		20000701		10415,1005	2000																																
200010	2	1		1	200010	2																																		5	200011	20001001		10412,10419,10420,10421,1005																																	
200011		1																																						5	200102	20010104		1005,10412																																	
