对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]2参数3,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2
1100003,2,1,,1,1100003,2,,,,,,,,5,,110000301,,1012,11000,,,,,
1100004,2,1,,1,1100004,2,,,,,,,,5,,110000401,,1012,11000,,,,,
1100005,2,1,1,1,1100005,2,3,100061,3,,,,,5,,110000501,,1012,11000,,,,,
1100099,2,1,1,1,1100005,2,8,100061,3,,,,,5,,110000401,,1012,11000,,,,,
1100102,2,1,,1,1100102,2,,,,,,,,5,,110010201,,153701,11001,,,,,
1100104,2,1,,1,1100104,2,,,,,,,,5,,110010401,,1012,11001,,,,,
1100202,2,1,,1,1100202,2,,,,,,,,5,,110020201,,1012,11002,,,,,
1100207,2,1,,1,1100207,2,,,,,,,,5,,110020701,,1012,11002,,,,,
1100302,2,1,,1,1100302,2,,,,,,,,5,,110030201,,163001,11003,,,,,
1100399,2,1,,1,1100303,2,,,,,,,,5,,110039901,,163001,11003,,,,,
1100398,2,1,,1,1100303,2,,,,,,,,5,,110039801,,1012,11003,,,,,
1100304,2,1,1,1,1100304,2,3,108021,1,,,,,5,,110030401,,163001,11003,,,,,
1100397,2,1,1,1,1100304,2,8,108021,1,,,,,5,,110039901,,163001,11003,,,,,
1100396,2,1,1,1,1100304,2,8,108021,1,,,,,5,,110039801,,1012,11003,,,,,
1100403,2,1,,1,1100403,2,,,,,,,,5,,110040301,,1012,11004,,,,,
1100501,2,1,,1,1100501,2,,,,,,,,5,,110050101,,163001,11005,,,,,
1100502,2,1,,1,1100502,2,,,,,,,,5,,110050201,,1012,11005,,,,,
1100503,2,1,,1,1100503,2,,,,,,,,5,,110050301,,1012,11005,,,,,
1100599,2,1,2,1,1100504,2,1,1100503,2,,,,,5,,110059901,,153701,11005,,,,,
1100598,2,1,2,1,1100504,2,1,1100503,2,,,,,5,,110059801,,154101,11005,,,,,
1100597,2,1,2,1,1100505,2,1,1100506,2,,,,,5,,110059701,,1012,11005,,,,,
1100508,2,1,,1,1100508,2,,,,,,,,5,,110050801,,1012,11005,,,,,
1100596,2,1,,1,1100509,2,,,,,,,,5,,110059601,,1012,11005,,,,,
1100509,2,1,1,1,1100510,2,1,1100509,3,,,,,5,,110051001,,1012,11005,,,,,
1100510,2,1,1,1,1100510,2,1,1100509,4,,,,,5,,110051002,,1012,11005,,,,,
1100595,2,1,,1,1100511,2,,,,,,,,5,,110059501,,1012,11005,,,,,
1100594,2,1,2,1,1100504,2,1,1100503,2,,,,,5,,110059803,,163101,11005,,,,,
1100592,2,1,2,1,1100515,2,1,1100516,2,,1,1100517,2,5,,110059901,,153701,11005,,,,,
1100591,2,1,2,1,1100515,2,1,1100516,2,,1,1100517,2,5,,110059801,,154101,11005,,,,,
1100590,2,1,2,1,1100515,2,1,1100516,2,,1,1100517,2,5,,110059803,,163101,11005,,,,,
1100589,2,1,2,1,1100504,2,1,1100503,2,,,,,5,,110059805,,163001,11005,,,,,
1100588,2,1,2,1,1100515,2,1,1100516,2,,1,1100517,2,5,,110059805,,163001,11005,,,,,
1100512,2,1,1,1,1100512,2,3,108013,1,,,,,5,,110051201,,1012,11005,,,,,
1100513,2,1,1,19,8,,1,1100513,2,,,,,5,,110051301,,1012,11005,,,,,
1100514,2,1,,1,1100514,2,,,,,,,,5,,110051401,,1012,11005,,,,,
1100515,2,1,,1,1100515,2,,,,,,,,5,,110051501,,1012,11005,,,,,
1100516,2,1,,1,1100516,2,,,,,,,,5,,110051601,,1012,11005,,,,,
1100593,2,1,1,1,1100517,2,8,108070,1,,,,,5,,110051601,,1012,11005,,,,,
1100517,2,1,1,1,1100517,2,3,108070,1,,,,,5,,110051701,,1012,11005,,,,,
1100518,2,1,,1,1100518,2,,,,,,,,5,,110051801,,153701,11005,,,,,
1100519,2,1,,1,1100519,2,,,,,,,,5,,110051901,,1012,11005,,,,,
1110001,1,1,,1,1110001,2,,,,,,,,5,,111000101,,1005,11100,,,,,
1110003,1,1,,1,1110003,2,,,,,,,,5,,111000301,,1005,11100,,,,,
1110010,2,1,,1,1110010,2,,,,,,,,5,,111001001,,10202,11100,,,,,
1110004,2,1,,1,1110004,2,,,,,,,,5,,111000401,,10217,11100,,,,,
1110005,2,1,,1,1110005,2,,,,,,,,5,,111000501,,10219,11100,,,,,
1110006,2,1,,1,1110006,2,,,,,,,,5,,111000601,,10218,11100,,,,,
1110008,2,1,,1,1110008,2,,,,,,,,5,,111000801,,10202,11100,,,,,
1110023,2,1,,1,1110007,2,,,,,,,,5,,111002301,,10202,11100,,,,,
1110101,2,1,,1,1110108,2,,,,,,,,5,,111010201,,10202,11101,,,,,
1110102,2,1,,1,1110102,2,,,,,,,,5,,111010222,,1625,11101,,,,,
1110104,2,1,,1,1110104,2,,,,,,,,5,1110110,111010301,,1005,11101,,,,,
1110110,,1,1,1,1110104,2,,,,,,,,3,1110111#1110112#1110113#1110114,111011001,,1005,11101,,,,,
1110111,,1,1,1,1110104,2,24,0,0,11101,,,,3,1110112#1110113#1110114,111011101,,1005,11101,,,,,
1110112,,1,1,1,1110104,2,24,1,0,11101,,,,3,1110111#1110113#1110114,111011201,,1005,11101,,,,,
1110113,,1,1,1,1110104,2,24,2,0,11101,,,,3,1110111#1110112#1110114,111011301,,1005,11101,,,,,
1110114,,1,1,1,1110104,2,24,3,1,11101,,,,3,,111011401,,1005,11101,,,,,
1110105,2,1,,1,1110105,2,,,,,,,,5,,111010501,,10202,11101,,,,,
1110107,2,1,,1,1110107,2,,,,,,,,5,,111010701,,10202,11101,,,,,
1110120,2,1,,1,1110101,2,,,,,,,,5,,111002001,,10217,11101,,,,,
1110121,2,1,,1,1110101,2,,,,,,,,5,,111002101,,10219,11101,,,,,
1110122,2,1,,1,1110101,2,,,,,,,,5,,111002201,,10218,11101,,,,,
1110123,2,1,,1,1110101,2,,,,,,,,5,,111012301,,10202,11101,,,,,
1110202,1,1,,1,1110202,2,,,,,,,,5,,111020201,,10204,11102,,,,,
1110204,2,1,,1,1110204,2,,,,,,,,5,,111020401,,1005,11102,,,,,
1110206,2,1,,1,1110205,2,,,,,,,,5,,111020601,,1005,11102,,,,,
1110220,2,1,,1,1110201,2,,,,,,,,5,,111022001,,10217,11102,,,,,
1110221,2,1,,1,1110201,2,,,,,,,,5,,111022101,,10219,11102,,,,,
1110222,2,1,,1,1110201,2,,,,,,,,5,,111022201,,10218,11102,,,,,
1110223,2,1,,1,1110201,2,,,,,,,,5,,111022301,,10202,11102,,,,,
1110224,2,1,,1,1110203,2,,,,,,,,5,,111022401,,10204,11102,,,,,
1110301,2,1,,1,1110314,2,,,,,,,,5,,111030101,,10201,11103,,,,,
1110302,2,1,,1,1110301,2,,,,,,,,5,,111030201,,10225,11103,,,,,
1110303,2,1,,1,1110303,2,,,,,,,,5,,111030301,,10221,11103,,,,,
1110305,2,1,,1,1110305,2,,,,,,,,5,,111030501,,10204,11103,,,,,
1110306,2,1,,1,1110306,2,,,,,,,,5,,111030601,,10226,11103,,,,,
1110307,1,1,,1,1110307,2,,,,,,,,5,,111030701,,10204,11103,,,,,
1110309,1,1,,1,1110309,2,,,,,,,,5,,111030901,,10204,11103,,,,,
1110310,2,1,,1,1110310,2,,,,,,,,5,,111031001,,2208,11103,,,,,
1110311,2,1,,1,1110311,2,,,,,,,,5,,111031101,,10204,11103,,,,,
1110320,2,1,,1,1110301,2,,,,,,,,5,,111032001,,10201,11103,,,,,
1110321,2,1,,1,1110302,2,,,,,,,,5,,111032001,,10201,11103,,,,,
1110322,2,1,,1,1110303,2,,,,,,,,5,,111032001,,10201,11103,,,,,
1110323,2,1,,1,1110401,2,,,,,,,,5,,111030810,,10210,11104,,,,,
1110324,2,1,,1,1110309,3,,,,,,,,5,,111032401,,10911,,,,,,
1110325,2,1,,1,1110309,3,,,,,,,,5,,111032501,,10912,,,,,,
