对话ID,触发方式,启用模式,[触发条件]组合,[触发条件]1类型,[触发条件]1参数1,[触发条件]1参数2,[触发条件]2类型,[触发条件]2参数1,[触发条件]2参数2,[触发条件]3类型,[触发条件]3参数1,[触发条件]3参数2,优先级,后续对话ID,初始台词ID,台词装饰ID,演员NpcID,专属父任务ID,额外加载标识ID,标识屏蔽NpcID,[完成执行]1类型,[完成执行]1参数1,[完成执行]1参数2
7100101,2,,,,,,,,,,,,5,,710010101,,20048,,,,,,
7100201,2,,,,,,,,,,,,5,,710020101,,20039,,,,,,
7100202,2,,,,,,,,,,,,5,,710020201,,20040,,,,,,
7100203,2,,,,,,,,,,,,5,,710020301,,20041,,,,,,
2102101,2,,,,,,,,,,,,5,,210210101,,20076,,,,,,
2102103,,,,,,,,,,,,,5,,210210301,,20073,,,,,,
2102104,2,,,,,,,,,,,,3,,210210401,,20074,21021,,,,,
2102105,2,,,,,,,,,,,,3,,210210501,,20075,21021,,,,,
2102106,2,,,,,,,,,,,,5,,210210601,,20082,21021,,,,,
2102107,2,,1,1,2102107,2,1,2102106,3,,,,6,,210210701,,20082,21021,,,,,
2102108,,,1,1,2102109,2,1,2102108,3,1,2102102,2,7,,210210801,,2306,21021,,,,,
2102111,,,,1,2102111,2,,,,,,,8,,210211101,,2306,21021,,,,,
2102113,2,,,19,2102113,,,,,,,,5,,210211301,,20077,,,,,,
2102114,2,,1,1,2102126,3,1,2102115,2,,,,10,,210211401,,2306,21021,,,,,
2102115,,,,,,,,,,,,,4,,210211501,,,21021,,,,,
2102133,,,2,1,2102109,2,1,2102108,2,,,,7,,210213301,,2310,21021,,,,,
2102144,,,2,1,2102109,2,1,2102108,2,,,,7,,210214401,,2305,21021,,,,,
2102145,,,2,1,2102109,2,1,2102108,2,,,,7,,210214501,,2139,21021,,,,,
2102155,,,2,1,2102109,2,1,2102108,2,,,,7,,210215501,,2303,21021,,,,,
2102166,,,2,1,2102109,2,1,2102108,2,,,,7,,210216601,,2308,21021,,,,,
2102177,,,2,1,2102109,2,1,2102108,2,,,,7,,210217701,,2309,21021,,,,,
2102188,,,2,1,2102109,2,1,2102108,2,,,,7,,210218801,,2300,21021,,,,,
2102199,2,,1,1,2102102,2,1,2102109,3,,,,7,,210219901,,2306,21021,,,,,
2102120,2,,1,1,2102108,2,1,2102101,3,,,,7,,210212001,,1005,21021,,,,,
2102121,2,,1,1,2102111,2,1,2102102,3,,,,7,,210212101,,1005,21021,,,,,
2102122,2,,1,1,2102126,2,1,2102114,3,,,,9,,210212201,,1005,21021,,,,,
2102123,2,,1,1,2102112,2,1,2102111,3,,,,7,,210212301,,2306,21021,,,,,
2102124,2,,1,1,2102124,2,1,2102127,3,,,,9,,210212501,,2306,21021,,,,,
2102125,2,,1,1,2102127,2,1,2102123,3,,,,8,,210212205,,1005,21021,,,,,
2102126,2,,1,1,2102107,2,1,2102106,3,,,,7,,210212601,,1005,21021,,,,,
2102127,2,,,1,2102115,3,,,,,,,7,,210212701,,1005,21021,,,,,
2102128,2,,,1,2102124,3,,,,,,,8,,210212801,,1005,21021,,,,,
2102201,2,1,,42,2102290,,,,,,,,9,2102290#2102291,210220101,,2211,,,,,,
2102290,,,,,,,,,,,,,9,2102280,210229001,,2211,,,,,,
2102291,,,,,,,,,,,,,9,2102280,210229101,,2211,,,,,,
2102280,,,,,,,,,,,,,9,2102292#2102293#2102294,210228001,,2211,,,,,,
2102292,,,,,,,,,,,,,9,,210229201,,2211,,,,,,
2102293,,,,,,,,,,,,,9,,210229301,,2211,,,,,,
2102294,,,,,,,,,,,,,9,,210229401,,2211,,,,,,
2102202,2,,1,1,2102202,2,1,2102290,3,,,,9,,210220201,,2211,21022,,,,,
2102203,2,,1,1,2102208,3,1,2102209,2,,,,9,,210220301,,2211,21022,,,,,
2102295,,,1,1,2102208,3,1,2102209,2,,,,9,,210229501,,2211,21022,,,,,
2102204,2,,1,1,2102209,3,1,2102210,2,,,,9,,210220401,,2211,21022,,,,,
2102205,2,,1,1,2102210,3,1,2102214,2,,,,9,,210220501,,2211,21022,,,,,
2102296,,,1,1,2102210,3,1,2102214,2,,,,9,,210229601,,2211,21022,,,,,
2102301,2,1,,42,2102301,,,,,,,,9,,210230101,,2124,,,,,,
2102302,2,,1,1,2102303,2,1,2102301,3,,,,9,,210230201,,2202,21023,,,,,
2102303,2,,,1,2102303,2,,,,,,,4,,210230301,,2124,,,,,,
2102401,2,1,,42,2102401,,,,,,,,9,,210240101,,2203,,,,,,
2102406,2,,1,1,2102406,2,1,2102401,3,,,,9,,210240601,,242101,21024,,,,,
2102408,2,1,1,19,2102408,,1,2102408,2,,,,9,,210240801,,242101,21024,,,,,
2102410,2,,,1,2102410,3,,,,,,,8,,210240820,,242101,21024,,,,,
2102409,2,,1,1,2102409,2,1,2102402,3,,,,9,,210240901,,2203,21024,,,,,
2102411,2,,,1,2102409,3,,,,,,,8,,210240617,,242101,21024,,,,,
2102412,2,,,1,2102401,3,,,,,,,9,,210240123,,220301,21024,,,,,
2102413,1,,1,1,2102410,2,1,2102408,3,,,,9,,210240802,,242101,21024,,,,,
2102501,2,,,,,,,,,,,,9,,210250101,,20080,,,,,,
7000500,2,,,,,,,,,,,,9,,700050001,,70001,,,,,,
7155500,2,,1,1,7155500,3,1,7155508,2,1,7155501,2,5,,715550001,,1005,71555,,,,,
7155503,2,,1,1,7155513,3,1,7155508,2,,,,5,,715550301,,20084,,,,,,
7155504,2,,1,1,7155504,3,1,7155508,2,1,7155514,2,5,,715550401,,1005,71555,,,,,
7155505,2,,1,1,7155505,3,1,7155508,2,1,7155515,2,5,,715550501,,1005,71555,,,,,
7155509,2,,1,1,7155511,3,1,7155511,3,,,,5,,715550901,,20088,71555,,,,,
7155510,2,,1,1,7155510,2,1,7155512,3,,,,5,,715551001,,20088,71555,,,,,
7155511,2,,1,1,7155511,2,1,7155510,3,,,,5,,715551101,,20088,71555,,,,,
7155512,2,,1,1,7155502,3,1,7155508,2,1,7155518,2,5,,715550201,,1005,71555,,,,,
7155513,2,,1,1,7155516,3,1,7155517,2,1,7155508,2,5,,715551701,,1005,71555,,,,,
7100897,2,,,,,,,,,,,,9,,710089701,,20128,,,,,,
7100898,2,,,,,,,,,,,,9,,710089801,,20119,,,,,,
7100899,2,,,,,,,,,,,,9,,710089901,,20120,,,,,,
