对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
2010201	2			1	2010201	2										3		201020101		1537	20102					
2010202	2			1	2010202	2										3		201020201		1537	20102					
2010203	2			1	2010202	2										3		201020301		1429	20102					
2010204	2			1	2010203	2										3		201020401		1567	20102					
2010205	2			1	2010204	2										3		201020501		1567	20102					
2010206	2			1	2010205	2										3		201020601		1567	20102					
2010207	2			1	2010206	2										3		201020701		1537	20102					
2010208	2			1	2010203	2										3		201020801		1429	20102					
2010209	2			1	2010206	2										3		201020901		1567	20102					
2010301	2			1	2010301	2										3		201030101		1565	20103					
2010302	2			1	2010303	2										3	2010303,2010306,2010305,2010307,2010304	201030201		20025	20103					
2010303				1	2010304	2										1	2010313	201030301		20025	20103					
2010304				1	2010305	2										1	2010313	201030401		20025	20103					
2010305				1	2010306	2										1	2010313	201030501		20025	20103					
2010306				1	2010307	2										1	2010309	201030601		20025	20103					
2010307				1	2010308	2										1	2010309	201030701		20025	20103					
2010308				1	2010309	2										1	2010303,2010306,2010305,2010307,2010304	201030801		20025	20103					
2010309				1	2010312	2										1		201030901		20025	20103					
2010310				1	2010309	3										1		201031001		20025	20103					
2010311	2			1	2010314	2										3		201031101		1565	20103					
2010312	2			1	2010315	2										3		201031201		1565	20103					
2010313			2	1	2010311	2		1	2010312	2						3	2010314	201031301		20025	20103					
2010314			2	1	2010311	2		1	2010312	2						3	2010308,2010310	201031401		20025	20103					
2010315	2		2	1	2010302	2		1	2010303	2						3		201031501		1565	20103					
2010317	2			1	2010301	2										3		201031701		20025	20103					
2010318	2			1	2010301	2										3		201031801		20102	20103					
2010319	2			1	2010301	2										3		201031901		20103	20103					
