对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
48602	2	1		1	48602	2								5		4860201		1419	486					
48603	1	1		1	48603	2								5		4860301		10030	486					
48605	2	1		1	48605	2								5		4860501		10031	486					
48607	2	1		1	48607	2								5		4860701		1006	486					
48608	2	1		1	48608	2								5		4860801		1008	486					
48610	2	1		1	48610	2								5		4861001		1004	486					
48611	2	1	1	2	48607	3	1	48602	3					5		4861101		1419	486					
48612	2	1	1	2	48607	3	1	48603	3					5		4861201		10030	486					
48613	2	1	1	2	48607	3	1	48605	3					5		4861301		10031	486					
48614	2	1	1	1	48609	2								5		4861401		1008	486					
48701	1	1	4	1	48701	2	2	7066503	3		41	7066503	1	5		4870101		10031	487					
48713	1	1	1	1	48701	2	1	7066503	3					5		4870101		10031	487					
48702	2	1		1	48702	2								5		4870201		10007	487					
48703	2	1		1	48703	2								5		4870301		10031	487					
48704	2	1	1	2	48702	3	1	48701	3					1		4870401		10031	487					
48705	2	1		1	48706	2								5		4870501		1005	487					
48710	2	1		1	48710	2								5		4871001		10031	487					
48711	2	1		1	48711	2								3		4871101		10031	487					
48712	2	1		1	48712	2								3		4871201		1005	487					
48800	1	1		1	48800	2								5		4880001		10030	488					
48801	2	1		1	48801	2								5		4880101		153501	488					
48803	2	1		1	48803	2								5		4880301		153501	488					
48804	2	1	1	1	48800	3	2	48802	3					5		4880401		10030	488					
48901	1	1		1	48901	2								5		4890101		1419	489					
48910	2	1	1	19	4		1	48902	2					5		4891001		1419	489					
48902	2	1		1	48909	2								4		4890201		1419	489					
48911	2	1	1	19	5		1	48903	2					5		4891101		1419	489					
48903	2	1	1	1	48905	2	1	48903	2					4		4890301		1419	489					
48904	2	1	1	1	48906	2	1	48903	2					5		4890401		1419	489					
48912	2	1	1	19	6		1	48904	2					5		4891201		1419	489					
48905	2	1	1	1	48907	2	1	48904	2					4		4890501		1419	489					
48906	2	1	1	1	48908	2	1	48904	2					5		4890601		1419	489					
48907	2	1		1	48902	2								4		4890701		1419	489					
48908	2	1		1	48903	2								3		4890801		1419	489					
48909	2	1		1	48904	2								3		4890901		1419	489					
49001	2	1		1	49001	2								5		4900101		1008	490					
49003	1	1		1	49003	2								5		4900301		1006	490					
49006	2	1		1	49006	2								5		4900601		1006	490					
49007	1	1		1	49007	2								5		4900701		1437	490					
49009	2	1		1	49009	2								5		4900901		1006	490					
49010	2	1		1	49010	2								5		4901001		1006	490					
49012	2	1		1	49012	2								5		4901201		1006	490					
49000	2	1	1	1	49001	3	1	49002	2					5		4900007		1008	490					
49013	2	1		1	49010	2								5		4901301		100801	490					
49014	2	1		1	49010	2								5		4901401		100401	490					
49015	2	1		1	49010	2								5		4901501		100101	490					
49016	2	1		1	49010	2								5		4901601		100901	490					
49017	2	1		1	49010	2								5		4901701		100701	490					
49018	2	1		1	49010	2								5		4901801		100201	490					
1050009	2	1	1	1	1050002	2	44	50001	1					6		105000901		10095	10500					
1050101	2	1		1	1050102	2								5	1050107	105010101		10095	10501					
1050107		1		1	1050102	2								3	1050108,1050109,1050110,1050111	105010701		220601	10501					
1050108		1	1	1	1050102	2	24	0	0	10501				3	1050109,1050110,1050111,1050112	105010801		220601	10501					
1050109		1	1	1	1050102	2	24	1	0	10501				3	1050108,1050110,1050111,1050112	105010901		220601	10501					
1050110		1	1	1	1050102	2	24	2	0	10501				3	1050108,1050109,1050111,1050112	105011001		220601	10501					
1050111		1	1	1	1050102	2	24	3	0	10501				3	1050108,1050109,1050110,1050112	105011101		220601	10501					
1050112		1	1	1	1050102	2	24	4	1	10501				3		105011201		220601	10501					
1050114	2	1	2	1	1050103	2	1	1050104	2					5		105011401		10095	10501					
1050115	2	1		1	1050111	2								5		105011501		10095	10501					
1050116	2	1		1	1050112	2								5		105011601		10095	10501					
1050208	2	1												3		105020801		10112						
1200002	1	1		1	1200002	2								5		120000201		1005	12000					
1200003	1	1		1	1200003	2								5		120000301		1625	12000					
1200005	1	1		1	1200005	2								5		120000501		1624	12000					
1200006	1	1		1	1200006	2								5		120000601		10045	12000					
1200010	1	1		1	1200010	2								5		120001001		10045	12000					
1200102	1	1		1	1200102	2								5		120010201		1005	12001					
1200103	2	1		1	1200103	2								5		120010301		2073	12001					
1200107	1	1		1	1200107	2								5		120010701		162601	12001					
1200108	2	1		1	1200108	2								5		120010801		10045	12001					
1200202	1	1		1	1200202	2								5		120020201		1005	12002					
1200203	2	1		1	1200203	2								5		120020301		162701	12002					
1200221	1	1		1	1200221	2								5		120020317		1005	12002					
1200208	2	1		1	1200208	2								5		120020801		1628	12002					
1200210	2	1		1	1200210	2								5		120021001		1628	12002					
1200211	1	1		1	1200211	2								5		120030101		1624	12002					
1200304	1	1		1	1200304	2								5		120030401		10045	12003					
1200306	1	1		1	1200306	2								5		120030601		10045	12003					
1200308	1	1		1	1200308	2								5		120030801		10045	12003					
1200309	2	1		1	1200309	2								5		120030901		1624	12003					
1200042	2	1		1	1200004	2								3		120004201		10045	12000					
1200012	2	1		1	1200007	2								3		610045101		10045	12000					
