对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
1011001	2	1		1	1011001	2								5		101100101		160101	10110					
1011021	2	1		1	1011002	2								5		101100149		160101	10110					
1011002	1	1		1	1011002	2								5		101100203		1425	10110					
1011022	2	1		1	1011003	2								5		101100232		1425	10110					
1011003	2	1		1	1011003	2								5		101100304		1567	10110					
1011023	2	1		1	1011004	2								5		101100317		1567	10110					
1011004	2	1		1	1011004	2								5		101100404		1009,1004	10110					
1011024	2	1		1	1011005	2								5		101100428		1004	10110					
1011025	2	1		1	1011005	2								5		101100430		1009	10110					
1011026	2	1		1	1011005	2								5		101100432		159301	10110					
1011027	2	1		1	1011005	2								5		101100434		157701	10110					
1011007	1	1		1	1011005	2								5		101100703		1605	10110					
1011009	2	1		1	1011009	2								5		101100901		1605	10110					
1011029	2	1		1	1011100	2								5		101100919		1605	10111					
1011030	2	1		1	1011010	2								5		101100720		1605	10110					
1011104	2	1		1	1011104	2								5		101110401		141101,141301	10111					
1011106	2	1		1	1011106	2								5		101110601		1001	10111					
1011204	2	1		1	1011204	2								5		101120401		1001	10112					
1011206	2	1		1	1011206	2								5	1011207,1011208	101120601		10243	10112					
1011207		1		25	0	60	10112							5	1011210	101120701		10243	10112					
1011208		1		26	0	50	10112							5		101120801		10243	10112					
1011211	2	1		1	1011210	2								5	1011210	101121101		10243	10112					
1011210	2	1	2	1	1011211	2		1	1011206	3				4		101121001		1001	10112					
1011301	2	1	2	1	1011302	2		1	1011303	2	1	1011304	2	5		101130201		1009	10113					
1011302	2	1		1	1011305	2								5		101130211		1009	10113					
1011303	2	1		1	1011303	2								5		101130301		141101	10113					
1011304	2	1		1	1011304	2								5		101130401		141101	10113					
1011305	2	1		1	1011305	2								5		101130501		1001	10113					
1011401	2	1		1	1011401	2								5		101140101		1001						
1020001	2	1		1	1020008	2								5		102000101		1006	10200					
1020002	1	1		1	1020015	2								5		102000201		1467	10200					
1020003	2	1		1	1020005	2								5		102000301		1005	10200					
1020004	1	1		1	1020007	2								5		102000401		1006	10200					
1020006	1	1		1	1020010	2								5		102000601		10090	10200					
1020007		1		1	1020004	2								1		102000701		141401	10200					
1020008		1		1	1020011	2								1		102000801		160301	10200					
1020009		1		1	1020012	2								1		102000901		1465	10200					
1020010		1		1	1020013	2								1		102001001		152301	10200					
1020005	2	1		1	1020012	2								5	1020009,1020025,1020026,1020027	102000501		1465	10200					
1020025		1												1		102002501		1465	10200					
1020026		1												1		102002601		1465	10200					
1020027		1												1		102002701		1465	10200					
1020011	2	1		1	1020004	2								3	1020007,1020012,1020013,1020014	102001101		141401	10200					
1020012		1												1		102001201		141401	10200					
1020013		1												1		102001301		141401	10200					
1020014		1												1		102001401		141401	10200					
1020022	2	1		1	1020004	3								3	1020012,1020013,1020014	102002201		141401	10200					
1020015	2	1		1	1020013	2								3	1020010,1020016,1020017	102001501		152301	10200					
1020016		1												1		102001601		152301	10200					
1020017		1												1		102001701		152301	10200					
1020023	2	1		1	1020013	3								3	1020016,1020017	102002301		152301	10200					
1020018	2	1		1	1020011	2								3	1020008,1020019	102001801		160301	10200					
1020019		1												1		102001901		160301	10200					
1020024	2	1		1	1020011	3								3	1020019	102002401		160301	10200					
1020021	2	1												3		102002101		10094						
1020101	1	1		1	1020112	2								5		102010101		10090	10201					
1020103	1	1		1	1020113	2								5		102010301		10090	10201					
1020104	1	1		1	1020111	2								5		102010401		10090	10201					
1020106	1	1		1	1020114	2								5		102010601		10091	10201					
1020107	1	1		1	1020115	2								5		102010701		10091	10201					
1020201	1	1		1	1020201	2								5		102020101		1006	10202					
1020204	2	1		1	1020204	2								5		102020401		10092	10202					
1020301	2	1		1	1020301	2								5		102030101		1006	10203					
1020302	2	1		1	1020302	2								5		102030201		10092	10203					
1020303	2	1		1	1020301	3								5		102030301		1006	10203					
