对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
6151701	2	1																			3	6151705,6151702,6151703,6151704	615170101		1517						
6151702	2	1																			1		615170201		1517						
6151703	2	1																			1		615170301		1517						
6151704	2	1																			1		615170401		1517						
6151705	2	1	1	1	35901	3		41	39403	1													615170501		1517						
6151905	2	1		1	35901	2															4	6151906,6151902,6151903,6151904	615190501		1519						
6151906	2	1		1	35901	2															1		615190601		1519						
6151901	2	1																			3	6151908,6151907,6151902,6151903,6151904	615190101		1519						
6151902	2	1																			1		615190201		1519						
6151903	2	1																			1		615190301		1519						
6151904	2	1																			1		615190401		1519						
6151907	2	1	1	1	35901	3		41	39403	1											1		615190701		1519						
6151908	2	1		1	39403	3															1		615190801		1519						
6152101	2	1																			3	7070101,6152105,6152102,6152103,6152104	615210101		1521						
6152102	2	1																			1		615210201		1521						
6152103	2	1																			1		615210301		1521						
6152104	2	1																			1		615210401		1521						
6152105	2	1		1	39403	3															1		615210501		1521						
6152301	2	1																			3	6152305,6152304,6152302,6152303	615230101		1523						
6152302	2	1																			1	41729,41730	615230201		1523						
41729	2	1																			1		615230204		1523						
41730	2	1																			1	7091501	615230209		1523						
6152303	2	1																			1		615230301		1523						
6152304	2	1																			1		615230401		1523						
6152305	2	1		1	39403	3															1		615230501		1523						
6152501	2	1																			3	6152502,6152508,6152503	615250101		1525						
6152502	2	1																			1		615250201		1525						
6152503	2	1																			1		615250301		1525						
6152508	2	1																			1		615250901		1525						
6152504	2	1																			3	6152505,6152509,6152503	615250101		1525						
6152505	2	1																			1		615250501		1525						
6152509	2	1																			1		615250901		1525						
6152506	2	1																			3	6152507,6152510,6152503	615250101		1525						
6152507	2	1																			1		615250701		1525						
6152510	2	1																			1		615250901		1525						
6152701	2	1																			3	6152702,6152703	615270101		1527						
6152702	2	1																			1		615270201		1527						
6152703	2	1																			1		615270301		1527						
6152901	2	1																			3	7070201,7070301,7070401,7070501,6152902,6152903	615290101		1529						
6152902	2	1																			1		615290201		1529						
6152903	2	1																			1		615290301		1529						
6153101	2	1																			3	4008891,6153102,6153103,6153104	615310101		1531						
6153102	2	1	2	43	2016	2016001	0	2	4007902	3											1		615310201		1531						
6153103	2	1																			1	7091801	615310301		1531						
6153104	2	1																			1		615310401		1531						
6153501	2	1																			3	2002603,6153502,6153503,6153504	615350101		1535						
6153502	2	1																			1		615350201		1535						
6153503	2	1																			1		615350301		1535						
6153504	2	1																			1		615350401		1535						
6153901	2	1																			3	6153902,6153903,6153904	615390101		1539						
6153902	2	1																			1	7092001	615390201		1539						
6153903	2	1																			1		615390301		1539						
6153904	2	1																			1		615390401		1539						
6154101	2	1																			3	7071301,7071401,6154105,6154106,6154102,6154103,6154104	615410101		1541						
6154102	2	1	2	41	1100519	1		1	1100519	2											1		615410201		1541						
6154103	2	1																			1	7092101	615410301		1541						
6154104	2	1																			1		615410401		1541						
6154105	2	1																			1		615410501		1541						
6154106	2	1		1	1100519	3															1		615410601		1541						
6154301	2	1		21	1																3	6154309,6154302,6154303,6154304	615430101		1543						
6154302	2	1		21	1																1		615430201		1543						
6154303	2	1		21	1																1	41733,7092201	615430301		1543						
41733	2	1		21	1																1		615430305		1543						
6154304	2	1		21	1																1		615430401		1543						
6154305	2	1		21	0																3	6154306,6154307,6154308	615430501		1543						
6154306	2	1		21	0																1		615430601		1543						
6154307	2	1		21	0																1		615430701		1543						
6154308	2	1		21	0																1		615430801		1543						
6154309	2	1		21	1																1		615430901		1543						
6154501	2	1																			3	6154502,6154503	615450101		1545						
6154502	2	1																			1	41734,7092301	615450201		1545						
41734	2	1																			1		615450203		1545						
6154503	2	1																			1		615450301		1545						
6154701	2	1																			3	6154702,7092401,6154704,6154703	615470101		1547						
6154702	2	1																			1		615470201		1547						
6154703	2	1																			1		615470301		1547						
6154704	2	1																			1		615470401		1547						
6155301	2	1																			3	6155302,6155303,7092601	615530101		1553						
6155302	2	1																			1		615530201		1553						
6155303	2	1																			1		615530301		1553						
6155501	2	1																			3	6155502,6155503,6155504	615550101		1555						
6155502	2	1																			1	41737,7092701	615550201		1555						
41737	2	1																			1		615550205		1555						
6155503	2	1																			1		615550301		1555						
6155504	2	1																			1		615550401		1555						
6156101	2	1																			3	6156102,6156103,6156104	615610101		1561						
6156102	2	1																			1		615610201		1561						
6156103	2	1																			1		615610301		1561						
6156104	2	1																			1		615610401		1561						
6156701	2	1																			3	7070601,6156705,6156702,6156703,6156704	615670101		1567						
6156702	2	1																			1		615670201		1567						
6156703	2	1																			1		615670301		1567						
6156704	2	1																			1		615670401		1567						
6156705	2	1	1	1	35901	3		41	39403	1											1		615670501		1567						
6156901	2	1																			3	6156904,6156902,6156903	615690101		1569						
6156902	2	1																			1		615690201		1569						
6156903	2	1																			1		615690301		1569						
6156904	2	1		1	39403	3															1		615690401		1569						
6155701	2	1																			3	6155702,6155707,6155703	615570101		1557						
6155702	2	1																			1		615570201		1557						
6155703	2	1																			1		615570301		1557						
6155704	2	1																			1	6155705,6155706	615570401		1557						
6155705	2	1																			1		615570501		1557						
6155706	2	1																			1		615570601		1557						
6155707	2	1																			1	6155704,7093101	615570204		1557						
6155101	2	1																			3	6155102,6155103,6155104	615510101		1551						
6155102	2	1																			1		615510201		1551						
6155103	2	1																			1		615510301		1551						
6155104	2	1																			1		615510401		1551						
6156501	2	1																			3	6156505,6156502,6156503,6156504	615650101		1565						
6156502	2	1																			1		615650201		1565						
6156503	2	1																			1	7091401	615650301		1565						
