提示台词ID	停留显示时长
400001	3
400002	3
400003	3
400004	3
400005	3
400006	6
400007	6
400008	6
400009	6
400010	3
400011	3
400012	3
400013	3
400014	3
400015	3
400016	5
400017	5
400018	3
400019	3
400020	5
400021	5
400022	5
400023	5
400024	5
400025	5
400026	3
400027	3
400028	5
400029	5
400030	5
400031	7.5
400032	3
400033	3
400034	3
400035	3
400036	3
400037	3
400038	3
400039	3
400040	3
400041	3
400042	7.5
400043	3
400044	3
400045	3
400046	3
400047	3
400048	3
400049	3
400050	3
400051	3
400052	3
400053	3
400054	3
400055	3
400056	3
400057	3
400058	3
400059	3
400060	3
400061	3
400062	3
400063	3
400064	3
400065	3
400066	3
400067	3
400068	3
400069	5
400070	5
400071	5
400072	5
400073	5
400074	5
400075	5
400076	5
400077	5
400078	10
400079	3
400080	3
400081	3
400082	3
400083	3
400084	5
400085	5
400086	5
400087	5
400088	5
400089	5
400090	3
400091	3
400092	3
400093	3
400094	3
400095	5
400096	3
400097	3
400098	3
400099	9
400100	5
400101	7
400102	3
400103	3
400104	3
400105	3
400106	5
400107	5
400108	3
400109	3
400110	3
400111	3
400114	3
400115	3
400116	3
400117	3
400112	5
400113	5
4000118	3
400119	3
400120	3
400121	3
400122	3
4000123	6
4000124	5
4000128	8
4000129	7
400125	1
400126	3
400127	1
400128	3
400129	3
400130	5
400131	3
400132	3.5
400133	3.5
400134	3
400135	4
400136	10
400137	10
400138	3
400139	3
4000140	5
4000141	5
4000142	5
4000143	6
4000144	4
4000145	5
4000146	6
4000147	5
4000148	5
4000149	6
4000150	4
4000151	4
4000162	6
400152	3
400153	3
400154	3
400155	3
400156	5
400157	3
400158	5
400159	5
400160	5
400161	5
400162	5
400163	4
400164	5
400165	3
400166	3
400167	3
400168	3
400169	3
400170	3
400171	5
400172	5
400173	5
400174	5
400175	3.5
400176	3.5
400177	3.5
400178	4
400179	5
400180	5
400181	5
400182	5
400183	5
400212	5
400184	5
400186	5
400187	5
400188	5
400189	5
400190	5
400191	5
400192	3
400193	3
400194	3
400195	3
400196	3
400197	3
400198	3
400199	3
400200	3
400201	4
400202	3
400203	3
400204	3
400205	3
400206	3
400207	3
400208	3
400209	3
400210	5
400211	3
400213	5
400214	5
400215	5
400301	3
400302	3
400303	3
400304	3
400305	3
400306	3
400307	3
400308	3
400309	3
400310	3
400311	3
400312	3
400313	3
400314	3
400315	3
400316	3
400317	3
400318	10.0
400319	3
400320	6.0
400871	3
400872	8
400903	5
400904	8
400905	8
