层ID	层	关卡组ID	等级	编队数量	星数解锁	地脉异常
1001	1	1	25	1	6	1200
1002	2	2	40	1	6	1201
1003	3	3	45	1	6	1202
1004	4	4	50	1	6	1203
1005	5	5	55	2	6	1306
1006	6	6	60	2	6	1307
1007	7	7	65	2	6	1308
1008	8	8	70	2	6	1309
1009	9	9	72	2	6	1219
1010	10	10	80	2	6	1220
1011	11	11	88	2	6	1221
1012	12	12	95	2	6	1222
1013	9	13	72	2	6	1313
1014	10	14	80	2	6	1314
1015	11	15	88	2	6	1316
1016	12	16	95	2	6	1315
1017	12	17	95	2	6	1363
1018	11	18	88	2	6	1380
1019	12	19	95	2	6	1381
1020	9	20	72	2	6	1313
1021	10	21	80	2	6	1314
1022	11	22	88	2	6	1385
1023	12	23	95	2	6	1381
1024	9	24	72	2	6	1600
1025	10	25	80	2	6	1601
1026	11	26	88	2	6	1602
1027	12	27	95	2	6	1603
1028	11	28	88	2	6	1608
1029	12	29	95	2	6	1618
1030	11	30	88	2	6	1627
1031	12	31	95	2	6	1628
1032	11	32	88	2	6	1634
1033	12	33	95	2	6	1635
1034	11	34	88	2	6	1678
1035	12	35	95	2	6	1679
1036	11	36	88	2	6	1686
1037	12	37	95	2	6	1687
1038	11	38	88	2	6	1698
1039	12	39	95	2	6	1699
1040	11	40	88	2	6	1705
1041	12	41	95	2	6	1706
1042	11	42	88	2	6	1711
1043	12	43	95	2	6	1712
1044	9	44	72	2	6	1714
1045	10	45	80	2	6	1715
1046	11	46	88	2	6	1716
1047	12	47	95	2	6	1717
1048	11	48	88	2	6	1738
1049	12	49	95	2	6	1739
1050	11	50	88	2	6	1746
1051	12	51	95	2	6	1747
