奖励组ID	层数	3星奖励	6星奖励	9星奖励	关卡奖励1	关卡奖励2	关卡奖励3
1	1	610001	610021	610041	621001	621002	621003
1	2	610002	610022	610042	621004	621005	621006
1	3	610003	610023	610043	621007	621008	621009
1	4	610004	610024	610044	621010	621011	621012
1	5	610005	610025	610045	621013	621014	621015
1	6	610006	610026	610046	621016	621017	621018
1	7	610007	610027	610047	621019	621020	621021
1	8	610008	610028	610048	621022	621023	621024
1	9	610009	610029	610049	621025	621026	621027
1	10	610010	610030	610050	621028	621029	621030
1	11	610011	610031	610051	621031	621032	621033
1	12	610012	610032	610052	621034	621035	621036
2	1	610001	610021	610041	621001	621002	621003
2	2	610002	610022	610042	621004	621005	621006
2	3	610003	610023	610043	621007	621008	621009
2	4	610004	610024	610044	621010	621011	621012
2	5	610005	610025	610045	621013	621014	621015
2	6	610006	610026	610046	621016	621017	621018
2	7	610007	610027	610047	621019	621020	621021
2	8	610008	610028	610048	621022	621023	621024
2	9	610009	610029	610049	622601	622602	622603
2	10	610010	610030	610050	622604	622605	622606
2	11	610011	610031	610051	622607	622608	622609
2	12	610012	610032	610052	622610	622611	622612
3	1	610001	610021	610041	621001	621002	621003
3	2	610002	610022	610042	621004	621005	621006
3	3	610003	610023	610043	621007	621008	621009
3	4	610004	610024	610044	621010	621011	621012
3	5	610005	610025	610045	621013	621014	621015
3	6	610006	610026	610046	621016	621017	621018
3	7	610007	610027	610047	621019	621020	621021
3	8	610008	610028	610048	621022	621023	621024
3	9	610009	610029	610049	623001	623002	623003
3	10	610010	610030	610050	623004	623005	623006
3	11	610011	610031	610051	623007	623008	623009
3	12	610012	610032	610052	623010	623011	623012
