排期ID	入口层ID	[排期]1层ID	[排期]1开启时间	[排期]2层ID	[排期]2开启时间	[排期]3层ID	[排期]3开启时间	[排期]4层ID	[排期]4开启时间	结束时间	奖励组ID	月纪念奖励	月度增益
56	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2022-10-16 04:00:00							2022-11-01 03:59:59	3		1741
57	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2022-11-01 04:00:00							2022-11-16 03:59:59	3		1742
58	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2022-11-16 04:00:00							2022-12-01 03:59:59	3		1748
59	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1050,1051	2022-12-01 04:00:00							2022-12-16 03:59:59	3		1749
1	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-07-01 00:00:00							2020-07-16 03:59:59	1		1050
2	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-07-16 04:00:00							2020-08-01 03:59:59	1		1050
3	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-08-01 04:00:00							2020-08-16 03:59:59	1		1050
4	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-08-16 04:00:00							2020-09-01 03:59:59	1		1050
5	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-09-01 04:00:00							2020-09-16 03:59:59	1		1050
6	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-09-16 04:00:00							2020-10-01 03:59:59	1		1050
7	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-10-01 04:00:00							2020-10-16 03:59:59	1		1051
8	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-10-16 04:00:00							2020-11-01 03:59:59	1		1051
9	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-11-01 04:00:00							2020-11-16 03:59:59	1		1052
10	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-11-16 04:00:00							2020-12-01 03:59:59	1		1310
11	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-12-01 04:00:00							2020-12-16 03:59:59	1		1311
12	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-12-16 04:00:00							2021-01-01 03:59:59	1		1312
13	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-01-01 04:00:00							2021-01-16 03:59:59	1		1317
14	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-01-16 04:00:00							2021-02-01 03:59:59	1		1318
15	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-02-01 04:00:00							2021-02-16 03:59:59	1		1319
16	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-02-16 04:00:00							2021-03-01 03:59:59	1		1357
17	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-03-01 04:00:00							2021-03-16 03:59:59	1		1358
18	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-03-16 04:00:00							2021-04-01 03:59:59	1		1359
19	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-04-01 04:00:00							2021-04-16 03:59:59	1		1366
20	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-04-16 04:00:00							2021-05-01 03:59:59	1		1367
21	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-05-01 04:00:00							2021-05-16 03:59:59	1		1382
22	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-05-16 04:00:00							2021-06-01 03:59:59	1		1383
23	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-06-01 04:00:00							2021-06-16 03:59:59	1		1384
24	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-06-16 04:00:00							2021-07-01 03:59:59	1		1387
25	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-07-01 04:00:00							2021-07-16 03:59:59	1		1388
26	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-07-16 04:00:00							2021-08-01 03:59:59	1		1389
27	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2021-08-01 04:00:00							2021-08-16 03:59:59	1		1390
28	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2021-08-16 04:00:00							2021-09-01 03:59:59	1		1391
29	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1026,1027	2021-09-01 04:00:00							2021-09-16 03:59:59	1		1392
30	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2021-09-16 04:00:00							2021-10-01 03:59:59	1		1610
31	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1028,1029	2021-10-01 04:00:00							2021-10-16 03:59:59	1		1611
32	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2021-10-16 04:00:00							2021-11-01 03:59:59	1		1629
33	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2021-11-01 04:00:00							2021-11-16 03:59:59	1		1630
34	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1030,1031	2021-11-16 04:00:00							2021-12-01 03:59:59	1		1631
35	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2021-12-01 04:00:00							2021-12-16 03:59:59	1		1636
36	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2021-12-16 04:00:00							2022-01-01 03:59:59	1		1638
37	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1032,1033	2022-01-01 04:00:00							2022-01-16 03:59:59	1		1637
38	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2022-01-16 04:00:00							2022-02-01 03:59:59	1		1680
39	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2022-02-01 04:00:00							2022-02-16 03:59:59	1		1681
40	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1034,1035	2022-02-16 04:00:00							2022-03-01 03:59:59	1		1682
41	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2022-03-01 04:00:00							2022-03-16 03:59:59	1		1684
42	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1036,1037	2022-03-16 04:00:00							2022-04-01 03:59:59	1		1685
43	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2022-04-01 04:00:00							2022-04-16 03:59:59	2		1695
44	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2022-04-16 04:00:00							2022-05-01 03:59:59	2		1696
45	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2022-05-01 04:00:00							2022-05-16 03:59:59	2		1697
46	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1038,1039	2022-05-16 04:00:00							2022-06-01 03:59:59	2		1695
47	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2022-06-01 04:00:00							2022-06-16 03:59:59	2		1702
48	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2022-06-16 04:00:00							2022-07-01 03:59:59	2		1703
49	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1040,1041	2022-07-01 04:00:00							2022-07-16 03:59:59	2		1704
50	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2022-07-16 04:00:00							2022-08-01 03:59:59	2		1708
51	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2022-08-01 04:00:00							2022-08-16 03:59:59	2		1709
52	1001,1002,1003,1004,1005,1006,1007,1008	1024,1025,1042,1043	2022-08-16 04:00:00							2022-09-01 03:59:59	2		1710
53	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2022-09-01 04:00:00							2022-09-16 03:59:59	3		1719
54	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1046,1047	2022-09-16 04:00:00							2022-10-01 03:59:59	3		1718
55	1001,1002,1003,1004,1005,1006,1007,1008	1044,1045,1048,1049	2022-10-01 04:00:00							2022-10-16 03:59:59	3		1740
