场景ID	传送点ID	解锁奖励RewardID	解锁通知groupid	解锁的AreaID
3	3	220311		
3	6	220310		
3	4	220311		
3	5	220311		
3	7	220311		
3	8	220311		
3	10	220311		
3	11	220311		
3	12	220311		
3	13	220311		
3	14	220311		
3	15	220311		
3	29	220311		
3	33	220311		
3	34	220311		
3	35	220311		
3	36	220311		
3	37	220311		
3	57	220311		
3	58	220311		
3	59	220311		
3	60	220311		
3	61	220311		
3	69	220311		
3	72	220311		
3	73	220311		
3	74	220311		
3	75	220311		
3	76	220311		
3	77	220311		
3	78	220311		
3	79	220311		
3	81	220311		
3	82	220311		
3	84	220311		
3	85	220311		
3	86	220311		
3	87	220311		
3	91	220311		
3	92	220311		
3	93	220311		
3	95	220311		
3	96	220311		
3	97	220311		
3	99	220311		
3	100	220311		
3	103	220311		
3	104	220311		
3	105	220311		
3	114	220311		
3	116	220311		
3	121	220311		
3	122	220311		
3	127	220311		
3	128	220311		
3	152	220311		
3	153	220311		
3	154	220311		
3	155	220311		
3	156	220311		
3	162	220311		
3	165	220311		
3	166	220311		
3	167	220311		
3	168	220311		
3	180	220311		
3	181	220311		
3	182	220311		
3	197	220311		
3	200	220311		
3	204	220311		
3	205	220311		
3	206	220311		
3	208	220311		
3	209	220311		
3	210	220311		
3	211	220311		
3	212	220311		
3	213	220311		
3	214	220311		
3	222	220311		
3	225	220311		
3	228	220311		
3	234	220311		
3	235	220311		
3	236	220311		
3	241	220311		16
3	242	220311		
3	244	220311		
3	245	220311		
3	246	220311		
3	296	220311		
3	298	220311		
3	301	220311		
3	302	220311		
3	304	220311		
3	305	220311		
3	306	220311		
3	331	220311		
3	247	220311		
3	248	220311		
3	249	220311		
3	250	220311		
3	251	220311		
3	252	220311		
3	253	220311		
3	254	220311		
3	255	220311		
3	256	220311		
3	257	220311		
3	258	220311		
4	1	220311		
4	2	220311		100
4	3	220311		
4	5	220311		
4	6	220311		
4	8	220311		101
4	9	220311		102
4	10	220311		103
4	28	220311		
4	29	220311		
4	30	220311		
3	293	220311		
3	307	220311		
3	314	220311		
3	318	220311		
3	319	220311		
3	320	220311		
3	321	220311		
3	322	220311		
3	316	220311		
3	324	220311		
3	325	220311		
3	326	220311		
3	327	220311		
3	328	220311		
3	329	220311		
3	330	220311		
3	332	220311		
3	365	220311		
3	366	220311		
3	380	220311		
3	381	220311		
3	382	220311		
3	383	220311		
3	384	220311		
3	432	220311		
3	435	220311		
5	1	220311		
5	2	220311		
5	3	220311		
5	4	220311		
5	6	220311		
5	9	220311		
5	10	220311		
5	12	220311		
5	14	220311		
5	17	220311		
5	20	220311		
5	21	220311		
5	22	220311		
5	24	220311		
5	25	220311		
5	26	220311		
5	27	220311		
5	29	220311		
5	30	220311		
5	31	220311		
5	32	220311		
5	33	220311		
5	34	220311		
5	39	220311		
5	35	220311		
7	2	220312		
7	3	220312		
7	10	220312		
7	7	220312		
7	5	220312		
7	8	220312		
7	9	220312		
7	15	220312		
7	16	220312		
7	17	220312		
3	462	220314		
3	463	220314		
3	464	220314		
3	465	220314		
3	471	220314		
3	472	220314		
3	480	220314		
3	481	220314		
3	482	220314		
3	483	220314		
3	484	220314		
3	485	220314		
3	486	220314		
3	487	220314		
3	488	220314		
3	489	220314		
3	490	220314		
3	491	220314		
3	492	220314		
3	493	220314		
3	494	220314		
3	495	220314		
3	496	220314		
3	497	220314		
3	498	220314		
3	499	220314		
3	500	220314		
3	501	220314		
3	502	220314		
3	575	220314		
3	586	220314		
3	587	220314		
3	588	220314		
3	589	220314		
3	598	220314		
3	604	220314		
3	605	220314		
3	606	220314		
3	615	220314		
3	616	220314		
3	676	220311		
6	1	220311		
6	2	220311		
6	3	220311		
6	4	220311		
6	5	220311		
6	6	220311		
6	7	220311		
6	8	220311		
6	9	220311		
6	10	220311		
6	11	220311		
6	12	220311		
6	13	220311		
6	14	220311		
6	17	220311		
3	442	220311		
3	443	220311		
3	444	220311		
3	445	220311		
3	446	220311		
3	438	220311		
9	1	220313		
9	2	220313		
9	3	220313		
9	4	220313		
9	5	220313		400
9	6	220313		401
9	62	220313		
9	7	220313		402
9	8	220313		
9	33	220313		403
9	34	220313		
9	35	220313		
9	56	220313		
9	60	220313		
3	534	220314		
3	535	220314		
3	536	220314		
3	537	220314		
3	538	220314		
3	539	220314		
3	540	220314		
3	541	220314		
3	542	220314		
3	543	220314		
3	544	220314		
3	545	220314		
3	546	220314		
3	547	220314		
3	548	220314		
3	549	220314		
3	550	220314		
3	551	220314		
3	552	220314		
3	553	220314		
3	555	220314		
3	557	220314		
3	558	220314		
3	626	220314		
3	653	220314		
3	629	220314		
3	517	220314		
3	518	220314		
3	519	220314		
3	577	220314		
3	599	220314		
3	602	220314		
3	603	220314		
3	612	220314		
3	623	220314		
3	625	220314		
3	652	220314		
3	655	220314		
3	665	220314		
3	631	220314		
3	632	220314		
3	633	220314		
3	634	220314		
3	635	220314		
3	636	220314		
3	637	220314		
3	638	220314		
3	639	220314		
3	640	220314		
3	641	220314		
3	642	220314		
3	643	220314		
3	644	220314		
3	645	220314		
3	666	220314		
3	667	220314		
3	668	220314		
3	691	220314		
3	702	220314		
3	703	220314		
3	706	220314		
3	744	220314		
3	745	220314		
3	746	220314		
3	747	220314		
3	748	220314		
3	749	220314		
3	750	220314		
3	751	220314		
3	752	220314		
3	753	220314		
3	754	220314		
