索引id,第几天开放,投放代币数,区域中心点,区域半径,group列表,修正等级,挖掘点数量列表,挖掘点代币数列表,杂物掉落万分率列表,杂物drop_id,多人挑战group,保底挖掘点group,多人挑战代币阈值,多人挑战类型,碎片特殊区域ID
1,1,60,-2739.7#218.7#-4457.4,80,133220219#133220220#133220221#133220222#133220223#133220224#133220225#133220226#133220227#133220228#133220229#133220230#133220231#133220232#133220233#133220234#133220235#133220236#133220237#133220238#133220239#133220240#133220241#133220242#133220243#133220244#133220245#133220246#133220247#133220248#133220249,1,3#5#8,20#8#4,250#2500#7250,200020004,,133220219#133220220#133220221,40,,1
2,1,60,-3487.6#196.9#-2670.6,100,133212092#133212095#133212097#133212114#133212129#133212149#133212174#133212219#133212238#133212241#133212245#133212255#133212256#133212257#133212275#133212289#133212290#133212316#133212317#133212318#133212319#133212320#133212321#133212322#133212323,1,3#5#8,20#8#4,250#2500#7250,200020004,,133212092#133212095#133212097,40,,1
3,2,60,-2468.3#203.7#-4184,80,133220069#133220088#133220097#133220275#133220319#133220323#133220324#133220326#133220327#133220328#133220329#133220330#133220332#133220333#133220334#133220335#133220336#133220338#133220339#133220340#133220341#133220343#133220344#133220345#133220346#133220347#133220348#133220349#133220350,1,3#5#8,20#8#4,250#2500#7250,200020004,133220371,133220069#133220088#133220097,40,1,1
4,2,60,-3487.8#187.9#-2158,90,133212435#133212436#133212437#133212432#133212433#133212434#133212441#133212442#133212443#133212438#133212439#133212440#133212431#133212422#133212423#133212424#133212419#133212420#133212421#133212428#133212429#133212430#133212425#133212426#133212427,1,3#5#8,20#8#4,250#2500#7250,200020004,133212486,133212435#133212436#133212437,40,1,1
5,3,60,-1876.4#189.6#-4238.6,105,133220292#133220293#133220294#133220295#133220296#133220297#133220298#133220299#133220300#133220301#133220302#133220303#133220304#133220305#133220306#133220307#133220308#133220309#133220313#133220314#133220315#133220317#133220318#133220320,1,3#5#8,20#8#4,250#2500#7250,200020004,,133220292#133220293#133220294,40,,2
6,3,60,-3361.3#196.6#-3456.2,80,133213366#133213367#133213368#133213369#133213370#133213371#133213373#133213375#133213376#133213377#133213378#133213379#133213380#133213381#133213382#133213383#133213384#133213385#133213386#133213387#133213388#133213389#133213390#133213391#133213392,1,3#5#8,20#8#4,250#2500#7250,200020004,,133213366#133213367#133213368,40,,2
7,4,60,-3519.8#195.5#-3352.2,90,133213393#133213394#133213395#133213396#133213397#133213398#133213399#133213400#133213401#133213402#133213403#133213404#133213405#133213406#133213407#133213408#133213409#133213410#133213411#133213412#133213413#133213414#133213415#133213416#133213417#133213418,1,3#5#8,20#8#4,250#2500#7250,200020004,133213488,133213393#133213394#133213395,40,2,2
8,4,60,-3497.5#195.5#-3073.2,90,133213419#133213420#133213421#133213422#133213423#133213424#133213425#133213426#133213427#133213428#133213429#133213430#133213431#133213432#133213433#133213434#133213435#133213436#133213437#133213438#133213439#133213440#133213441#133213442#133213443#133213444,1,3#5#8,20#8#4,250#2500#7250,200020004,133213458,133213419#133213420#133213421,40,2,2
9,5,60,-3198.3#190.4#-3300.3,120,133213351#133213352#133213353#133213348#133213349#133213350#133213354#133213358#133213359#133213360#133213355#133213356#133213357#133213347#133213337#133213338#133213339#133213334#133213335#133213336#133213340#133213344#133213345#133213346#133213341#133213342#133213343,1,3#5#8,20#8#4,250#2500#7250,200020004,,133213351#133213352#133213353,40,,
10,5,60,-3999.6#194.2#-2422.6,90,133212454#133212455#133212457#133212460#133212461#133212462#133212463#133212464#133212467#133212468#133212469#133212470#133212471#133212472#133212473#133212474#133212475#133212477#133212478#133212479#133212484,1,3#5#8,20#8#4,250#2500#7250,200020004,,133212454#133212455#133212457,40,,
11,6,60,-3732.8#202.3#-2475.6,80,133212324#133212325#133212326#133212327#133212328#133212329#133212330#133212331#133212332#133212333#133212334#133212335#133212336#133212337#133212338#133212339#133212341#133212342#133212343#133212344#133212345#133212347#133212349#133212351#133212352,1,3#5#8,20#8#4,250#2500#7250,200020004,133212360,133212324#133212325#133212326,40,3,
12,6,60,-3901#186.6#-2120,90,133212418#133212416#133212417#133212415#133212408#133212409#133212406#133212407#133212410#133212413#133212414#133212411#133212412#133212405#133212398#133212399#133212396#133212397#133212400#133212403#133212404#133212401#133212402#133212395#133212394,1,3#5#8,20#8#4,250#2500#7250,200020004,133212487,133212418#133212416#133212417,40,3,
13,7,60,-3347.3#188.6#-3642.4,110,133213313#133213314#133213315#133213312#133213309#133213310#133213311#133213331#133213332#133213333#133213330#133213318#133213320#133213327#133213298#133213299#133213300#133213297#133213293#133213295#133213296#133213305#133213307#133213308#133213304#133213301#133213302#133213303,1,3#5#8,20#8#4,250#2500#7250,200020004,,133213313#133213314#133213315,40,,
14,7,60,-2715#209.4#-4285.7,90,133220060#133220061#133220064#133220072#133220073#133220076#133220077#133220079#133220080#133220081#133220084#133220089#133220093#133220094#133220095#133220096#133220105#133220140#133220160#133220175#133220177#133220178#133220255#133220274#133220282#133220288,1,3#5#8,20#8#4,250#2500#7250,200020004,,133220060#133220061#133220064,40,,
