活动排期id	试用角色ID1	试用角色ID2	试用角色ID3	试用角色ID4	试用角色ID5	试用角色奖励1	试用角色奖励2	试用角色奖励3	试用角色奖励4	试用角色奖励5
5002001	1	2	3			480001	480002	480003		
5002002	4	5	6			480001	480002	480003		
5002003	7	12	9	13		480001	480002	480003	480004	
5002004	11	8	14	10		480001	480002	480003	480004	
5002005	16	18	19	20		480001	480002	480003	480004	
5002006	15	17				480001	480002			
5002007	22	31	24	25		480001	480002	480003	480004	
5002008	21	27	28			480001	480002	480003		
5002009	1	19	14			480001	480002	480003		
5002010	7	29	18			480001	480002	480003		
5002011	30	23	26			480001	480002	480003		
5002012	11	32	31			480001	480002	480003		
5002013	33	25	27	24		480001	480002	480003	480004	
5002014	4	19	18			480001	480002	480003		
5002015	34	29	26	14		480001	480002	480003	480004	
5002016	35	23	28	32		480021	480162	480243	480354	
5002017	36	31	25	37		480361	480272	480313	480394	
5002018	38	40	19			480401	480412	480303		
5002019	39	29	24	27		480421	480322	480133	480144	
5002020	7	23	28	32		480211	480162	480243	480354	
5002021	21	41	31	37		480331	480372	480273	480394	
5002022	16	33	26	29		480261	480381	480202	480323	
5002023	42	43				480441	480452			
5002024	44	22	45	23	28	480461	480151	480472	480163	480244
5002025	11	15	27	24	32	480181	480251	480142	480133	480354
5002026	46	18	31	41		480481	480192	480273	480374	
5002027	38	39	26	25	40	480401	480421	480202	480313	480414
5002028	47	1	19	45		480491	480111	480302	480473	
5002029	35	14	29	37		480021	480092	480323	480394	
5002030	49	22	32			480501	480151	480352		
5002031	42	48	28	43		480441	480512	480243	480454	
5002032	34	4	50	23	41	480341	480171	480522	480163	480374
5002033	36	26	25	45		480361	480202	480313	480474	
5002034	53	11	52	31	18	480541	480181	480552	480273	480194
5002035	15	39	51	19	27	480251	480421	480532	480303	480144
5002036	55	1	56	48	37	480561	480111	480572	480513	480394
5002037	54	16	24			480581	480261	480132		
5002038	58	36	14	26		480601	480361	480092	480203	
5002039	46	7	57	41	50	480481	480211	480592	480373	480524
