ID,[触发条件]类型,[触发条件]参数1,[触发条件]参数2,进度,已废弃,试用角色数据ID,试用角色ID,进入关卡ID,角色,首通奖励
51001,601,6000#241000003#1,,1,,1,1022,6000,1022#1023#1004,480001
51002,601,6001#241001003#1,,1,,2,1014,6001,1014#1015,480002
51003,601,6002#241002003#1,,1,,3,1031,6002,1031#1021#1015,480003
51004,601,6003#241003003#1,,1,,4,1029,6003,1029#1034,480001
51005,601,6004#241004003#1,,1,,5,1025,6004,1025#1023,480002
51006,601,6005#241005003#1,,1,,6,1043,6005,1043#1004,480003
51007,601,6006#241006003#1,,1,,7,1033,6006,1033#1015,480001
51008,601,6007#241007003#1,,1,,8,1044,6007,1044#1015#1004,480002
51009,601,6008#241008003#1,,1,,9,1024,6008,1024#1015,480003
51010,601,6009#241009003#1,,1,,10,1036,6009,1036#1023,480004
51011,601,6010#241010003#1,,1,,11,1030,6010,1030#1015#1004,480001
51012,601,6011#241011003#1,,1,,12,1039,6011,1039#1015#1004,480002
51013,601,6012#241012003#1,,1,,13,1027,6012,1027#1023#1004,480004
51014,601,6013#241013003#1,,1,,14,1020,6013,1020#1023,480003
51015,601,6014#241014003#1,,1,,15,1037,6014,1037#1014#1015,480001
51016,601,6015#241015003#1,,1,,16,1038,6015,1038#1023,480001
51017,601,6016#241016004#1,,1,,17,1025,6016,1025#1015,480002
51018,601,6017#241017004#1,,1,,18,1031,6017,1031#1021#1015,480002
51019,601,6018#241018003#1,,1,,19,1043,6018,1043#1004#1015,480003
51020,601,6019#241019003#1,,1,,20,1032,6019,1032#1023,480004
51021,601,6020#241020003#1,,1,,21,1046,6020,1046,480001
51022,601,6021#241021006#1,,1,,22,1026,6021,1026#1014,480001
51023,601,6022#241022003#1,,1,,23,1027,6022,1027#1023#1004,480002
51024,601,6023#241023003#1,,1,,24,1024,6023,1024#1015,480003
51025,601,6024#241024003#1,,1,,25,1044,6024,1044#1015#1004,480004
51026,601,6025#241025003#1,,1,,26,1032,6025,1032#1023,480003
51027,601,6026#241026004#1,,1,,27,1025,6026,1025#1015,480002
51028,601,6027#241027003#1,,1,,28,1036,6027,1036#1023,480003
51029,601,6028#241028003#1,,1,,29,1045,6028,1045,480004
51030,601,6029#241029003#1,,1,,30,1042,6029,1042#1014,480001
51031,601,6030#241030003#1,,1,,31,1039,6030,1039#1015#1004,480002
51032,601,6032#241032003#1,,1,,32,1048,6032,1048,480002
51033,601,6033#241033003#1,,1,,33,1049,6033,1049#1004,480002
51034,601,6034#241034003#1,,1,,34,1050,6034,1050#1014,480001
51035,601,6035#241035003#1,,1,,35,1002,6035,1002#1014#1023,480001
51036,601,6036#241036003#1,,1,,36,1051,6036,1051#1034#1023,480001
51037,601,6037#241037003#1,,1,,37,1053,6037,1053#1015#1023,480001
51038,601,6038#241038003#1,,1,,38,1052,6038,1052#1023#1015#1014,480001
51039,601,6039#241039003#1,,1,,39,1054,6039,1054#1015#1004#1023,480001
51040,601,6040#241040003#1,,1,,40,1056,6040,1056#1004#1023#1014,480001
51041,601,6041#241041003#1,,1,,41,1047,6041,1047#1023#1015,480001
51042,601,6042#241042003#1,,1,,42,1057,6042,1057#1014#1015#1034,480001
51043,601,6043#241043003#1,,1,,43,1055,6043,1055#1027#1015#1034,480001
51044,601,6044#241044003#1,,1,,44,1063,6044,1063#1015#1004#1023,480001
51045,601,6045#241045003#1,,1,,45,1064,6045,1064#1034,480001
51046,601,6046#241046003#1,,1,,46,1065,6046,1065#1014#1004#1015,480001
51047,601,6047#241047003#1,,1,,47,1066,6047,1066#1023#1015,480001
51048,601,6046#241048003#1,,1,,48,1058,6048,1058#1023#1004#1015,480001
51049,601,6047#241049003#1,,1,,49,1059,6049,1059#1023#1004#1015,480001
51050,601,6048#241050003#1,,1,,50,1060,6050,1060#1023#1014#1015,480001
51051,601,6051#241051003#1,,1,,51,1068,6051,1068#1023#1004#1067,480001
51052,601,6052#241052003#1,,1,,52,1067,6052,1067#1023#1004#1014,480001
51053,601,6053#241053003#1,,1,,53,1069,6053,1069#1067#1004#1034,480001
51055,601,6055#241055003#1,,1,,54,1070,6055,1070#1067#1014,480001
51056,601,6056#241056003#1,,1,,55,1071,6056,1071#1067#1014#1034,480001
51054,601,6054#241054003#1,,1,,56,1072,6054,1072#1067#1004#1015,480001
51057,601,6057#241057003#1,,1,,57,1073,6057,1073#1015#1023#1014,480001
51058,601,6058#241058003#1,,1,,58,1074,6058,1074#1023#1004#1014,480001
