ID,开启顺序,开启天数,开启阶段,GroupBundleID,RewardID,活动Watcher
1,1,1,1,20160107,3057201,12016018
2,2,1,1,20160108,3057202,12016019
3,3,1,1,20160109,3057203,12016020
4,4,1,1,20160110,3057204,12016021
5,5,1,1,20160111,3057205,12016022
6,1,4,2,20160112,3057206,12016023
7,2,4,2,20160113,3057207,12016024
8,3,4,2,20160114,3057208,12016025
9,4,4,2,20160115,3057209,12016026
10,5,4,2,20160116,3057210,12016027
11,1,7,3,20160117,3057211,12016028
12,2,7,3,20160118,3057212,12016029
13,3,7,3,20160119,3057213,12016030
14,4,7,3,20160120,3057214,12016031
15,5,7,3,20160121,3057215,12016032
