技能ID	[效果]1类型	[效果]1参数	[效果]2类型	[效果]2参数	[效果]3类型	[效果]3参数	[效果]4类型	[效果]4参数	[效果]5类型	[效果]5参数
101	1	1;30								
102	1	2;30								
103	1	3;30								
104	1	1;50	2	2;10	2	3;10				
105	1	2;50	2	1;10	2	3;10				
106	1	3;50	2	1;10	2	2;10				
107	1	1;20	1	2;5	1	3;5				
108	1	2;20	1	1;5	1	3;5				
109	1	3;20	1	1;5	1	2;5				
110	1	1;20	8	202;1;30	8	203;1;30	8	204;1;30		
111	1	1;15	1	2;10	1	3;5				
112	1	1;5	1	2;15	1	3;10				
113	1	1;10	1	2;5	1	3;15				
114	13	1;20;5								
115	13	2;20;5								
116	13	3;20;5								
117	11	80000;10000;10								
118	1	2;20	8	202;2;30	8	203;2;30	8	204;2;30		
119	1	3;20	8	202;3;30	8	203;3;30	8	204;3;30		
120	11	200000;20000;10								
121	14	1;30								
122	14	2;30								
123	14	3;30								
124	11	400000;40000;10								
125	10	50								
126	11	650000;60000;10								
