PresentID	开启顺序	开启天数	GroupID	RewardID	礼物类型
1	1	3	133002168	3057304	2
2	1	3	133002167	3057305	1
3	1	3	133002140	3057306	1
4	1	3	133004073	3057307	1
5	1	3	133004056	3057308	1
6	1	3	133004077	3057309	1
7	1	3	133004052	3057310	2
8	1	3	133004063	3057311	2
9	2	5	133004075	3057312	1
10	2	5	133004059	3057313	1
11	2	5	133004057	3057314	1
12	2	5	133003058	3057315	1
13	2	5	133004078	3057316	1
14	2	5	133004080,201004010	3057317	2
15	2	5	133003049	3057318	2
16	2	5	133003083	3057319	2
17	3	7	133002103	3057320	2
18	3	7	133002166	3057321	2
19	3	7	133002171	3057322	1
20	3	7	133002139	3057323	1
21	3	7	133001226	3057324	2
22	3	7	133001221	3057325	1
23	3	7	133002172	3057326	1
24	3	7	133002130	3057327	1
