图鉴ID	武器ID	序号	已废弃	解锁才显示
30211101	11101	1101		
30212101	12101	1201		
30213101	13101	1301		
30214101	14101	1401		
30215101	15101	1501		
30211201	11201	2101		
30212201	12201	2201		
30213201	13201	2301		
30214201	14201	2401		
30215201	15201	2501		
30211301	11301	3101		
30211302	11302	3102		
30211303	11303	3103		
30211304	11304	3104	1	
30211305	11305	3105		
30211306	11306	3106		
30212301	12301	3201		
30212302	12302	3202		
30212303	12303	3203		
30212305	12305	3204		
30212306	12306	3205		
30213301	13301	3301		
30213302	13302	3302		
30213303	13303	3303		
30214301	14301	3401		
30214302	14302	3402		
30214303	14303	3403		
30214304	14304	3404		
30214305	14305	3405		
30215301	15301	3501		
30215302	15302	3502		
30215303	15303	3503		
30215304	15304	3504		
30215305	15305	3505		
30211401	11401	4101		
30211402	11402	4102		
30211403	11403	4103		
30211404	11404	4104		
30211405	11405	4105		
30211406	11406	4106		
30211407	11407	4107		
30211408	11408	4108		
30211409	11409	4109		
30211412	11412	4110		
30211413	11413	4111		1
30211410	11410	4112		
30211414	11414	4113		
30211415	11415	4114		1
30211416	11416	4115		1
30211417	11417	4116		
30211418	11418	4117		
30212401	12401	4201		
30212402	12402	4202		
30212403	12403	4203		
30212404	12404	4204		
30212405	12405	4205		
30212406	12406	4206		
30212407	12407	4207		
30212408	12408	4208		
30212409	12409	4209		
30212411	12411	4210		
30212410	12410	4211		
30212414	12414	4212		
30212412	12412	4213		1
30212416	12416	4214		
30212417	12417	4215		
30212415	12415	4216		
30213401	13401	4301		
30213402	13402	4302		
30213403	13403	4303		
30213404	13404	4304		
30213405	13405	4305		
30213407	13407	4306		
30213408	13408	4307		
30213409	13409	4308		
30213406	13406	4309		
30213414	13414	4310		
30213415	13415	4311		
30213416	13416	4312		
30213417	13417	4313		
30213419	13419	4314		1
30214401	14401	4401		
30214402	14402	4402		
30214403	14403	4403		
30214404	14404	4404		
30214405	14405	4405		
30214406	14406	4406		
30214407	14407	4407		
30214408	14408	4408		
30214409	14409	4409		
30214412	14412	4410		
30214410	14410	4411		
30214413	14413	4412		1
30214414	14414	4414		
30214415	14415	4415		1
30214417	14417	4416		
30214416	14416	4417		
30215401	15401	4501		
30215402	15402	4502		
30215403	15403	4503		
30215404	15404	4504		
30215405	15405	4505		
30215406	15406	4506		
30215407	15407	4507		
30215408	15408	4508		
30215409	15409	4509		
30215410	15410	4510		
30215413	15413	4511		1
30215412	15412	4512		
30215414	15414	4513		
30215415	15415	4514		1
30215416	15416	4515		
30215411	15411	4516		1
30215417	15417	4517		
30215418	15418	4518		
30211501	11501	5101		
30211502	11502	5102		
30211504	11504	5103		
30211505	11505	5104		
30211503	11503	5105		
30211509	11509	5106		
30211510	11510	5107		
30211511	11511	5108		
30211512	11512	5109		
30212501	12501	5201		
30212502	12502	5202		
30212504	12504	5203		
30212505	12505	5204	1	
30212503	12503	5205		
30212510	12510	5206		
30213505	13505	5301		
30213502	13502	5302		
30213504	13504	5303		
30213501	13501	5304		
30213509	13509	5305		
30213507	13507	5306		
30213511	13511	5307		
30214501	14501	5401		
30214502	14502	5402		
30214504	14504	5403		
30214505	14505	5404	1	
30214506	14506	5405		
30214509	14509	5406		
30214511	14511	5407		
30214512	14512	5408		
30215501	15501	5501		
30215502	15502	5502		
30215504	15504	5503	1	
30215505	15505	5504	1	
30215503	15503	5505		
30215509	15509	5506		
30215507	15507	5507		
30215508	15508	5508		
30215511	15511	5509		
