等级	武器升级经验1	武器升级经验2	武器升级经验3	武器升级经验4	武器升级经验5
1	125	175	275	400	600
2	200	275	425	625	950
3	275	400	600	900	1350
4	350	550	800	1200	1800
5	475	700	1025	1550	2325
6	575	875	1275	1950	2925
7	700	1050	1550	2350	3525
8	850	1250	1850	2800	4200
9	1000	1475	2175	3300	4950
10	1150	1700	2500	3800	5700
11	1300	1950	2875	4350	6525
12	1475	2225	3250	4925	7400
13	1650	2475	3650	5525	8300
14	1850	2775	4050	6150	9225
15	2050	3050	4500	6800	10200
16	2250	3375	4950	7500	11250
17	2450	3700	5400	8200	12300
18	2675	4025	5900	8950	13425
19	2925	4375	6425	9725	14600
20	3150	4725	6925	10500	15750
21	3575	5350	7850	11900	17850
22	3825	5750	8425	12775	19175
23	4100	6175	9050	13700	20550
24	4400	6600	9675	14650	21975
25	4700	7025	10325	15625	23450
26	5000	7475	10975	16625	24950
27	5300	7950	11650	17650	26475
28	5600	8425	12350	18700	28050
29	5925	8900	13050	19775	29675
30	6275	9400	13800	20900	31350
31	6600	9900	14525	22025	33050
32	6950	10450	15300	23200	34800
33	7325	10975	16100	24375	36575
34	7675	11525	16900	25600	38400
35	8050	12075	17700	26825	40250
36	8425	12650	18550	28100	42150
37	8825	13225	19400	29400	44100
38	9225	13825	20275	30725	46100
39	9625	14425	21175	32075	48125
40	10025	15050	22050	33425	50150
41	10975	16450	24150	36575	54875
42	11425	17125	25125	38075	57125
43	11875	17825	26125	39600	59400
44	12350	18525	27150	41150	61725
45	12825	19225	28200	42725	64100
46	13300	19950	29250	44325	66500
47	13775	20675	30325	45950	68925
48	14275	21425	31425	47600	71400
49	14800	22175	32550	49300	73950
50	15300	22950	33650	51000	76500
51	16625	24925	36550	55375	83075
52	17175	25750	37775	57225	85850
53	17725	26600	39000	59100	88650
54	18300	27450	40275	61025	91550
55	18875	28325	41550	62950	94425
56	19475	29225	42850	64925	97400
57	20075	30100	44150	66900	100350
58	20675	31025	45500	68925	103400
59	21300	31950	46850	70975	106475
60	21925	32875	48225	73050	109575
61	23675	35500	52075	78900	118350
62	24350	36500	53550	81125	121700
63	25025	37525	55050	83400	125100
64	25700	38575	56550	85700	128550
65	26400	39600	58100	88025	132050
66	27125	40675	59650	90375	135575
67	27825	41750	61225	92750	139125
68	28550	42825	62800	95150	142725
69	29275	43900	64400	97575	146375
70	30025	45025	66025	100050	150075
71	32300	48450	71075	107675	161525
72	33100	49650	72825	110325	165500
73	33900	50850	74575	113000	169500
74	34700	52075	76350	115700	173550
75	35525	53300	78150	118425	177650
76	36350	54550	80000	121200	181800
77	37200	55800	81850	124000	186000
78	38050	57075	83700	126825	190250
79	38900	58350	85575	129675	194525
80	39775	59650	87500	132575	198875
81	46950	70425	103275	156475	234725
82	52775	79150	116075	175875	263825
83	59275	88925	130425	197600	296400
84	66600	99900	146500	221975	332975
85	74800	112175	164550	249300	373950
86	83975	125975	184775	279950	419925
87	94275	141425	207400	314250	471375
88	105800	158725	232775	352700	529050
89	118725	178100	261200	395775	593675
90	133200	199800	293050	444025	666050
