类型	星级	等级	对应分数
2	4	1	651
2	4	2	705
2	4	3	759
2	4	4	813
2	4	5	866
2	4	6	920
2	4	7	974
2	4	8	1028
2	4	9	1081
2	4	10	1135
2	4	11	1189
2	4	12	1243
2	4	13	1297
2	4	14	1350
2	4	15	1404
2	4	16	1458
2	4	17	1512
2	4	18	1565
2	4	19	1619
2	4	20	1673
2	4	21	1773
2	4	22	1875
2	4	23	1979
2	4	24	2086
2	4	25	2195
2	4	26	2307
2	4	27	2421
2	4	28	2537
2	4	29	2656
2	4	30	2776
2	4	31	2900
2	4	32	3025
2	4	33	3153
2	4	34	3283
2	4	35	3416
2	4	36	3551
2	4	37	3688
2	4	38	3828
2	4	39	3970
2	4	40	4114
2	4	41	4261
2	4	42	4410
2	4	43	4561
2	4	44	4715
2	4	45	4871
2	4	46	5029
2	4	47	5190
2	4	48	5353
2	4	49	5518
2	4	50	5686
2	4	51	5856
2	4	52	6028
2	4	53	6203
2	4	54	6380
2	4	55	6559
2	4	56	6741
2	4	57	6925
2	4	58	7112
2	4	59	7300
2	4	60	7491
2	4	61	7685
2	4	62	7881
2	4	63	8079
2	4	64	8279
2	4	65	8482
2	4	66	8687
2	4	67	8895
2	4	68	9105
2	4	69	9317
2	4	70	9531
2	4	71	9748
2	4	72	9968
2	4	73	10189
2	4	74	10413
2	4	75	10639
2	4	76	10868
2	4	77	11099
2	4	78	11332
2	4	79	11568
2	4	80	11806
2	4	81	12046
2	4	82	12289
2	4	83	12534
2	4	84	12781
2	4	85	13030
2	4	86	13282
2	4	87	13537
2	4	88	13793
2	4	89	14053
2	4	90	14314
2	4	91	14578
2	4	92	14844
2	4	93	15112
2	4	94	15383
2	4	95	15656
2	4	96	15931
2	4	97	16209
2	4	98	16489
2	4	99	16772
2	4	100	17056
2	5	1	706
2	5	2	766
2	5	3	826
2	5	4	887
2	5	5	948
2	5	6	1008
2	5	7	1069
2	5	8	1130
2	5	9	1191
2	5	10	1253
2	5	11	1314
2	5	12	1375
2	5	13	1437
2	5	14	1498
2	5	15	1560
2	5	16	1622
2	5	17	1684
2	5	18	1746
2	5	19	1808
2	5	20	1870
2	5	21	1986
2	5	22	2105
2	5	23	2227
2	5	24	2352
2	5	25	2480
2	5	26	2610
2	5	27	2744
2	5	28	2880
2	5	29	3019
2	5	30	3162
2	5	31	3307
2	5	32	3454
2	5	33	3605
2	5	34	3759
2	5	35	3916
2	5	36	4075
2	5	37	4238
2	5	38	4403
2	5	39	4571
2	5	40	4743
2	5	41	4917
2	5	42	5094
2	5	43	5274
2	5	44	5457
2	5	45	5643
2	5	46	5831
2	5	47	6023
2	5	48	6218
2	5	49	6415
2	5	50	6616
2	5	51	6820
2	5	52	7026
2	5	53	7236
2	5	54	7448
2	5	55	7663
2	5	56	7882
2	5	57	8103
2	5	58	8327
2	5	59	8554
2	5	60	8785
2	5	61	9018
2	5	62	9254
2	5	63	9493
2	5	64	9735
2	5	65	9981
2	5	66	10229
2	5	67	10480
2	5	68	10734
2	5	69	10991
2	5	70	11251
2	5	71	11515
2	5	72	11781
2	5	73	12050
2	5	74	12322
2	5	75	12597
2	5	76	12876
2	5	77	13157
2	5	78	13441
2	5	79	13728
2	5	80	14019
2	5	81	14312
2	5	82	14609
2	5	83	14908
2	5	84	15211
2	5	85	15516
2	5	86	15825
2	5	87	16137
2	5	88	16451
2	5	89	16769
2	5	90	17090
2	5	91	17414
2	5	92	17741
2	5	93	18071
2	5	94	18404
2	5	95	18740
2	5	96	19080
2	5	97	19422
2	5	98	19767
2	5	99	20116
2	5	100	20468
2	3	1	595
2	3	2	640
2	3	3	686
2	3	4	731
2	3	5	776
2	3	6	820
2	3	7	865
2	3	8	910
2	3	9	955
2	3	10	999
2	3	11	1044
2	3	12	1088
2	3	13	1132
2	3	14	1177
2	3	15	1221
2	3	16	1265
2	3	17	1309
2	3	18	1353
2	3	19	1396
2	3	20	1440
2	3	21	1523
2	3	22	1608
2	3	23	1695
2	3	24	1783
2	3	25	1874
2	3	26	1966
2	3	27	2060
2	3	28	2156
2	3	29	2254
2	3	30	2354
2	3	31	2455
2	3	32	2559
2	3	33	2664
2	3	34	2772
2	3	35	2881
2	3	36	2992
2	3	37	3105
2	3	38	3219
2	3	39	3336
2	3	40	3454
2	3	41	3575
2	3	42	3697
2	3	43	3821
2	3	44	3947
2	3	45	4074
2	3	46	4204
2	3	47	4335
2	3	48	4469
2	3	49	4604
2	3	50	4741
2	3	51	4880
2	3	52	5021
2	3	53	5163
2	3	54	5308
2	3	55	5454
2	3	56	5602
2	3	57	5752
2	3	58	5904
2	3	59	6058
2	3	60	6214
2	3	61	6371
2	3	62	6531
2	3	63	6692
2	3	64	6855
2	3	65	7020
2	3	66	7187
2	3	67	7355
2	3	68	7526
2	3	69	7698
2	3	70	7873
2	3	71	8049
2	3	72	8227
2	3	73	8407
2	3	74	8589
2	3	75	8772
2	3	76	8958
2	3	77	9145
2	3	78	9334
2	3	79	9526
2	3	80	9719
2	3	81	9914
2	3	82	10110
2	3	83	10309
2	3	84	10509
2	3	85	10712
2	3	86	10916
2	3	87	11122
2	3	88	11330
2	3	89	11540
2	3	90	11752
2	3	91	11966
2	3	92	12182
2	3	93	12399
2	3	94	12619
2	3	95	12840
2	3	96	13063
2	3	97	13288
2	3	98	13515
2	3	99	13744
2	3	100	13975
