武器突破ID,突破等级,[消耗物品]1ID,[消耗物品]1数量,[消耗物品]2ID,[消耗物品]2数量,[消耗物品]3ID,[消耗物品]3数量,突破消耗金币,[增加属性]1类型,[增加属性]1值,[增加属性]2类型,[增加属性]2值,[增加属性]3类型,[增加属性]3值,[增加属性]4类型,[增加属性]4值,[增加属性]5类型,[增加属性]5值,突破后解锁等级上限,冒险等级要求
11101,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11101,1,114001,1,112014,1,112011,1,0,4,11.7,20,0,22,0,23,0,28,0,40,15
11101,2,114002,1,112014,4,112011,2,5000,4,23.3,20,0,22,0,23,0,28,0,50,25
11101,3,114002,2,112015,2,112012,2,5000,4,35,20,0,22,0,23,0,28,0,60,30
11101,4,114003,1,112015,4,112012,3,10000,4,46.7,20,0,22,0,23,0,28,0,70,35
11201,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11201,1,114001,1,112014,1,112011,1,5000,4,11.7,20,0,22,0,23,0,28,0,40,15
11201,2,114002,1,112014,5,112011,4,5000,4,23.3,20,0,22,0,23,0,28,0,50,25
11201,3,114002,3,112015,3,112012,3,10000,4,35,20,0,22,0,23,0,28,0,60,30
11201,4,114003,1,112015,5,112012,4,15000,4,46.7,20,0,22,0,23,0,28,0,70,35
11301,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11301,1,114001,2,112014,2,112011,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11301,2,114002,2,112014,8,112011,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11301,3,114002,4,112015,4,112012,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11301,4,114003,2,112015,8,112012,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11301,5,114003,4,112016,6,112013,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11301,6,114004,3,112016,12,112013,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11302,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11302,1,114005,2,112020,2,112002,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11302,2,114006,2,112020,8,112002,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11302,3,114006,4,112021,4,112003,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11302,4,114007,2,112021,8,112003,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11302,5,114007,4,112022,6,112004,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11302,6,114008,3,112022,12,112004,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11303,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11303,1,114009,2,112023,2,112008,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11303,2,114010,2,112023,8,112008,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11303,3,114010,4,112024,4,112009,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11303,4,114011,2,112024,8,112009,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11303,5,114011,4,112025,6,112010,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11303,6,114012,3,112025,12,112010,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11304,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11304,1,114013,2,112029,2,112005,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11304,2,114014,2,112029,8,112005,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11304,3,114014,4,112030,4,112006,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11304,4,114015,2,112030,8,112006,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11304,5,114015,4,112031,6,112007,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11304,6,114016,3,112031,12,112007,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11305,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11305,1,114017,2,112026,2,112035,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11305,2,114018,2,112026,8,112035,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11305,3,114018,4,112027,4,112036,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11305,4,114019,2,112027,8,112036,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11305,5,114019,4,112028,6,112037,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11305,6,114020,3,112028,12,112037,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11306,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11306,1,114021,2,112041,2,112032,1,5000,4,19.5,20,0,22,0,23,0,28,0,40,15
11306,2,114022,2,112041,8,112032,5,10000,4,38.9,20,0,22,0,23,0,28,0,50,25
11306,3,114022,4,112042,4,112033,4,15000,4,58.4,20,0,22,0,23,0,28,0,60,30
11306,4,114023,2,112042,8,112033,6,20000,4,77.8,20,0,22,0,23,0,28,0,70,35
11306,5,114023,4,112043,6,112034,4,25000,4,97.3,20,0,22,0,23,0,28,0,80,40
11306,6,114024,3,112043,12,112034,8,30000,4,116.7,20,0,22,0,23,0,28,0,90,50
11401,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11401,1,114001,3,112014,3,112011,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11401,2,114002,3,112014,12,112011,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11401,3,114002,6,112015,6,112012,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11401,4,114003,3,112015,12,112012,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11401,5,114003,6,112016,9,112013,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11401,6,114004,4,112016,18,112013,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11402,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11402,1,114005,3,112020,3,112002,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11402,2,114006,3,112020,12,112002,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11402,3,114006,6,112021,6,112003,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11402,4,114007,3,112021,12,112003,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11402,5,114007,6,112022,9,112004,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11402,6,114008,4,112022,18,112004,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11403,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11403,1,114009,3,112023,3,112008,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11403,2,114010,3,112023,12,112008,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11403,3,114010,6,112024,6,112009,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11403,4,114011,3,112024,12,112009,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11403,5,114011,6,112025,9,112010,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11403,6,114012,4,112025,18,112010,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11404,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11404,1,114001,3,112014,3,112005,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11404,2,114002,3,112014,12,112005,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11404,3,114002,6,112015,6,112006,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11404,4,114003,3,112015,12,112006,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11404,5,114003,6,112016,9,112007,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11404,6,114004,4,112016,18,112007,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11405,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11405,1,114013,3,112029,3,112035,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11405,2,114014,3,112029,12,112035,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11405,3,114014,6,112030,6,112036,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11405,4,114015,3,112030,12,112036,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11405,5,114015,6,112031,9,112037,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11405,6,114016,4,112031,18,112037,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11406,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11406,1,114017,3,112026,3,112032,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11406,2,114018,3,112026,12,112032,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11406,3,114018,6,112027,6,112033,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11406,4,114019,3,112027,12,112033,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11406,5,114019,6,112028,9,112034,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11406,6,114020,4,112028,18,112034,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11407,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11407,1,114021,3,112041,3,112038,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11407,2,114022,3,112041,12,112038,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11407,3,114022,6,112042,6,112039,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11407,4,114023,3,112042,12,112039,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11407,5,114023,6,112043,9,112040,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11407,6,114024,4,112043,18,112040,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11408,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11408,1,114013,3,112029,3,112011,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11408,2,114014,3,112029,12,112011,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11408,3,114014,6,112030,6,112012,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11408,4,114015,3,112030,12,112012,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11408,5,114015,6,112031,9,112013,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11408,6,114016,4,112031,18,112013,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11409,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11409,1,114005,3,112020,3,112002,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11409,2,114006,3,112020,12,112002,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11409,3,114006,6,112021,6,112003,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11409,4,114007,3,112021,12,112003,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11409,5,114007,6,112022,9,112004,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11409,6,114008,4,112022,18,112004,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11410,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11410,1,114001,3,112014,3,112008,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
11410,2,114002,3,112014,12,112008,8,15000,4,51.9,20,0,22,0,23,0,28,0,50,25
11410,3,114002,6,112015,6,112009,6,20000,4,77.8,20,0,22,0,23,0,28,0,60,30
11410,4,114003,3,112015,12,112009,9,30000,4,103.7,20,0,22,0,23,0,28,0,70,35
11410,5,114003,6,112016,9,112010,6,35000,4,129.7,20,0,22,0,23,0,28,0,80,40
11410,6,114004,4,112016,18,112010,12,45000,4,155.6,20,0,22,0,23,0,28,0,90,50
11412,0,0,0,0,0,0,0,0,4,0,20,0,22,0,23,0,28,0,20,0
11412,1,114005,3,112020,3,112035,2,5000,4,25.9,20,0,22,0,23,0,28,0,40,15
