天气模板名	天气	晴	多云	雨	雷雨	雪	雾	沙漠
Weather_Standard	1	50	25	2	1	0	0	0
Weather_Standard	2	40	60	4	4	0	0	0
Weather_Standard	3	20	20	0	0	0	0	0
Weather_Standard	4	20	30	0	0	0	0	0
Weather_Standard	5	0	0	0	0	0	0	0
Weather_Standard	6	0	0	0	0	0	0	0
Weather_Tundra	1	30	40	0	0	50	0	0
Weather_Tundra	2	40	30	0	0	60	0	0
Weather_Tundra	3	0	0	0	0	0	0	0
Weather_Tundra	4	0	0	0	0	0	0	0
Weather_Tundra	5	30	30	0	0	60	0	0
Weather_Tundra	6	0	0	0	0	0	0	0
Weather_WindDragon	1	0	0	0	0	0	0	0
Weather_WindDragon	2	0	0	0	0	0	0	0
Weather_WindDragon	3	0	0	0	0	0	0	0
Weather_WindDragon	4	0	0	0	0	0	0	0
Weather_WindDragon	5	0	0	0	0	0	0	0
Weather_WindDragon	6	0	0	0	0	0	0	0
Weather_MengDeInStorm	1	0	0	0	0	0	0	0
Weather_MengDeInStorm	2	0	0	0	0	0	0	0
Weather_MengDeInStorm	3	0	0	0	0	0	0	0
Weather_MengDeInStorm	4	0	0	0	0	0	0	0
Weather_MengDeInStorm	5	0	0	0	0	0	0	0
Weather_MengDeInStorm	6	0	0	0	0	0	0	0
Weather_Rainy	1	0	0	100	0	0	0	0
Weather_Rainy	2	0	0	100	0	0	0	0
Weather_Rainy	3	0	0	100	0	0	0	0
Weather_Rainy	4	0	0	100	0	0	0	0
Weather_Rainy	5	0	0	100	0	0	0	0
Weather_Rainy	6	0	0	100	0	0	0	0
Weather_Sunny	1	100	0	0	0	0	0	0
Weather_Sunny	2	100	0	0	0	0	0	0
Weather_Sunny	3	100	0	0	0	0	0	0
Weather_Sunny	4	100	0	0	0	0	0	0
Weather_Sunny	5	100	0	0	0	0	0	0
Weather_Sunny	6	100	0	0	0	0	0	0
Weather_Foggy	1	0	0	0	0	0	100	0
Weather_Foggy	2	0	0	0	0	0	100	0
Weather_Foggy	3	0	0	0	0	0	100	0
Weather_Foggy	4	0	0	0	0	0	100	0
Weather_Foggy	5	0	0	0	0	0	100	0
Weather_Foggy	6	0	0	0	0	0	100	0
Weather_City	1	100		0	0	0	0	0
Weather_City	2	100		0	0	0	0	0
Weather_City	3	100	0	0	0	0	0	0
Weather_City	4	100	0	0	0	0	0	0
Weather_City	5	100	0	0	0	0	0	0
Weather_City	6	100	0	0	0	0	0	0
Weather_ThunderStorm	1	0	0	0	100	0	0	0
Weather_ThunderStorm	2	0	0	0	100	0	0	0
Weather_ThunderStorm	3	0	0	0	100	0	0	0
Weather_ThunderStorm	4	0	0	0	100	0	0	0
Weather_ThunderStorm	5	0	0	0	100	0	0	0
Weather_ThunderStorm	6	0	0	0	100	0	0	0
Weather_StoneNeedles	1	0	0	0	0	0	100	0
Weather_StoneNeedles	2	0	0	0	0	0	100	0
Weather_StoneNeedles	3	0	0	0	0	0	100	0
Weather_StoneNeedles	4	0	0	0	0	0	100	0
Weather_StoneNeedles	5	0	0	0	0	0	100	0
Weather_StoneNeedles	6	0	0	0	0	0	100	0
Weather_StoneNeedlesAbove	1	0	0	0	0	0	100	0
Weather_StoneNeedlesAbove	2	0	0	0	0	0	100	0
Weather_StoneNeedlesAbove	3	0	0	0	0	0	100	0
Weather_StoneNeedlesAbove	4	0	0	0	0	0	100	0
Weather_StoneNeedlesAbove	5	0	0	0	0	0	100	0
