MaterialID	他人世界可用	Room可用	屏蔽SceneId列表	死亡可用	限制区域可用	战斗可用	非正常Move可用	祈祷动作可用	瞄准可用	地城可用	镜像大世界可用	深渊可用	家园可用	载具限制	屏蔽地城类型列表	屏蔽地城玩法类型列表
220001	1	0		0	0	0	0		0	0	0	0	0			
220002	1	0		0	0	0	0		0	0	0	0	0			
220003	0	0		0	0	0	0		0	0	0	0	0			
220004	1	0		0	0	0	0		0	1	1	0	1		22	
220005	0	0	4,7,9	0	0	0	0		0	0	0	0	0			
220006	1	0		0	0	0	0		0	1	1	0	0		12,18,22	
220008	1	1		0	1	1	1		1	1	1	0	1		17,18,22,24,29,30	3
220009	0	0		0	0	0	0		0	0	0	0	0			
220013	1	0		0	0	0	0		0	0	0	0	0			
220014	1	1		0	1	0	0		0	1	1	0	1			
220015	1	1		0	1	0	0		0	1	1	0	1			
220016	1	1		0	1	0	0		0	1	1	0	1			
220017	1	0		0	1	1	0		0	1	1	0	1			
220018	1	1		1	1	1	1		1	0	0	0	1			
220019	1	1		1	1	1	1		1	0	0	0	1			
220020	1	1		1	1	1	1		1	0	0	0	1			
220021	1	0		0	0	0	0		0	0	0	0	0			
220022	1	0		0	0	1	0		0	0	0	0	0			
220023	1	1		0	1	0	0		0	1	1	0	1			
220024	1	1		0	0	0	0		0	1	1	0	0		22	
220025	1	1		0	0	0	0		0	0	0	0	1			
220026	0	0		0	0	0	0		0	0	0	0	1			
220027	1	0		0	0	1	0		0	0	0	0	0			
220028	1	0		0	0	1	1		0	0	0	0	0	1		
220029	1	0		0	0	1	0		0	0	0	0	0			
220030	1	0		0	0	1	0		0	0	0	0	0			
220031	1	0		0	0	1	0		0	0	0	0	0			
220032	1	0		0	0	0	0		0	0	0	0	0			
220033	1	0		0	0	0	0		0	0	0	0	0			
220034	0	0	7	0	0	0	0		0	0	0	0	0			
220035	1	0		0	0	0	0		0	1	1	0	1		22	
220036	0	0		0	0	0	0		0	1	1	0	0			
220037	0	0		0	0	0	0		0	0	0	0	0			
220038	1	1		0	1	0	0		0	1	1	0	1			
220039	1	1		0	0	0	0		0	1	1	0	0			
220040	1	1		0	0	0	0		0	1	1	0	0			
220042	0	0		0	0	0	0		0	0	0	0	0			
220043	1	0		0	0	1	0		0	0	0	0	0			
220044	1	1		0	0	0	0		0	0	0	0	1			
220045	1	1		0	1	0	0		0	1	1	0	1			
220046	1	0		0	0	1	0		0	0	0	0	0			
220047	1	0		0	0	0	0		0	0	0	0	0			
220048	1	0		0	0	1	1		0	1	1	0	0		22	
220049	1	0		0	0	1	1		1	0	0	0	0			
220050	1	0		0	0	1	0		0	0	0	0	0			
220051	1	1		0	0	0	0		0	0	0	0	1			
220052	1	1		0	0	1	1		0	0	0	0	0			
220053	0	0		0	0	1	0	1	1	0	0	0	0			
220061	0	0		0	0	1	0		0	0	0	0	0			
220062	1	1		0	1	0	0		0	1	1	0	1			
220056	1	1		0	0	0	1		1	0	0	0	1			
220057	1	0		0	0	0	0		0	0	0	0	0			
220058	0	0		0	0	0	0		0	0	0	0	0			
220059	1	0		0	0	0	1		0	0	0	0	0			
220064	0	0		0	0	0	1		0	0	0	0	0			
220065	1	1		1	1	1	1		1	1	1	0	1			
220066	1	1		0	0	0	0		0	1	1	0	1		2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	
220063	1	0		0	0	1	0		0	0	0	0	0		17,18,22,24,29,30	
220067	1	1		0	0	0	0		0	1	1	0	0		22	
220070	1	1		1	1	1	1		1	0	0	0	1			
220071	0	0		0	0	1	0	1	1	0	0	0	0			
220072	0	0		0	0	1	1		0	0	0	0	0			
220073	0	0		0	1	1	0		0	0	0	0	0			
220074	1	1		0	1	0	0		0	1	1	0	1			
220075	1	0		0	1	0	1		1	0	0	0	0			
220076	1	0		0	1	0	1		0	0	0	0	0			
