提示台词ID,停留显示时长
1003,4
1004,5
1105001,1
1105002,1
1106001,1
1106002,1
1106003,1
1107001,6
1107002,6
1107003,6
1109001,15
1109002,3
1109004,5
1109005,3
1109006,5
1109007,5
1109008,5
1109009,5
1109010,5
1109011,5
1109012,5
1109013,5
1109014,5
1109015,5
1109016,5
1109017,5
1110004,3
1110005,3
1110006,3
1110007,3
1110008,3
1110009,3
1110010,3
1110011,3
1110012,3
1110013,3
1110014,3
1110015,3
1110016,3
1110017,3
1110018,3
1110019,3
1110020,3
1110021,3
1110022,3
1110023,3
1110024,3
1110025,3
1110026,3
1110027,3
1110028,3
1110029,3
1110030,3
1110031,3
1110032,3
1110033,3
1110034,3
1110100,3
1110101,3
1110102,3
1110103,3
1110104,3
1110035,3
1110038,3
1110039,3
1110042,3
1110036,3
1110037,3
1110040,3
1110041,3
1110043,3
1120001,3
1120002,3
1120003,3
1120004,3
1120005,3
1110044,3
1110045,3
1110046,3
1110070,3
1110071,3
1110051,2
1110052,3
1110053,3
1110054,2
1110055,3
1110056,3
1110057,2
1110058,3
1110059,3
1110061,2
1110062,3
1110063,3
1110072,3
1110073,3
1110064,2
1110065,3
1110066,3
1110074,3
1110075,3
1110076,3
1110077,3
1110078,3
1110079,3
1110080,3
1110081,3
1110082,3
1110083,3
1110084,3
1110085,3
1110086,3
1110087,3
1110088,3
1110089,3
1110090,3
1110091,3
1110092,3
1110093,3
1110094,3
1110095,3
1110096,3
1110097,3
1110098,3
1110099,3
1110105,3
1110106,3
1110107,3
1110108,3
1110109,3
1110110,3
1110111,3
1110112,2
1110113,2
1110114,2
1110115,2
1110116,2
1110117,2
1110118,3
1110119,3
1110120,3
1110121,3
1110122,3
1110123,3
1110124,3
1110125,3
1110126,3
1110127,3
1110128,3
1110129,3
1110130,3
1110131,3
1110132,3
1110133,3
1110134,3
1110135,3
1110136,3
1110137,3
1110138,3
1110139,3
1110140,3
1110141,3
1110142,3
1110143,3
1110144,3
1110145,3
1110146,3
1110047,3
1110048,3
1110049,3
1110147,3
1110148,3
1110149,3
1110150,3
1110151,3
1110152,3
1110153,3
1110154,3
1110155,3
1110156,3
1110157,3
1110158,3
1110159,3
1110160,3
1110161,3
1110162,3
1110163,3
1110164,3
1110165,3
1110166,3
1110167,3
1110168,3
1110169,3
1110170,3
1110171,3
1110172,3
1110173,3
1110174,3
1110175,3
1110176,3
1110177,3
1110178,3
1110179,3
1110180,3
1110181,5
1110182,3
1110183,3
1110184,3
1110186,3
1110187,3
1110188,3
1110189,3
1110190,3
1110191,3
1110192,3
1110193,3
1110194,3
1110195,3
1110196,3
1110197,3
1110198,5
1110199,3
1110200,4
1110201,3
1110202,3
1110203,4
1110204,3
1110205,3
1110206,3
1110207,3
1110208,3
1110209,3
1110210,3
1110211,3
1110212,3
1110213,3
1110214,4
1110215,3
1110216,3
1110217,5
1110218,4
1110219,4
1110220,4
1110221,4
1110222,4
1110223,4
1110224,4
1110225,4
1110226,4
1110227,4
1110228,4
1110229,4
1110230,4
1110231,4
1110232,4
1110233,4
1110234,4
1110235,4
1110236,3
1110237,4
1110238,4
1110239,4
1110240,4
1110241,4
1110242,4
1110243,4
1110244,4
1110245,4
1110246,4
1110247,4
1110248,4
1110249,4
1110250,4
1110251,4
1110252,4
1110253,4
1110254,4
1110255,4
1110256,4
1110257,4
1110258,4
1110259,4
1110260,4
1110261,4
1110262,4
1110263,4
1110264,4
1110265,4
1110266,4
1110267,4
1110268,4
1110269,4
1110270,4
1110271,4
1110272,4
1110273,4
1110274,4
1110275,4
1110276,4
1110277,4
1110278,4
1110279,4
1110280,4
1110281,4
1110282,4
1110283,4
1110284,4
1110285,4
1110286,4
1110287,4
1110288,4
1110289,5
1110290,5
1110291,5
1110292,6
1110293,6
1110294,6
1110295,6
1110296,4
1110297,4
1110298,4
1110299,4
1110300,4
1110301,4
1110302,4
1110303,4
1110304,4
1110306,4
1110307,4
1110308,2
1110309,2
1110310,2
1110311,2
1110312,2
1110313,2
1110314,2
1110315,2
1110316,2
1110317,3
1110318,3
1110319,3
1110320,3
1110321,3
1110322,3
1110323,3
1110324,4
1110325,4
1110326,4
1110327,3
1110328,3
1110329,3
1110330,3
1110331,3
1110332,3
1110333,3
1110334,3
1110335,3
1110336,3
1110337,3
1110338,3
1110339,3
1110340,3
1110341,3
1110342,3
1110343,3
1110344,3
1110345,3
1110346,3
1110347,3
1110348,3
1110349,3
1110350,6
1110351,6
1110352,4
1110353,4
1110354,4
1110355,6
1110356,4
1110357,4
1110358,5
1110359,5
1110360,3
1110361,3
1110362,3
1110363,3
1110364,3
1110365,3
1110366,3
1110367,3
1110368,2
1110369,2
1110370,3
1110371,4
1110372,4
1110373,4
1110374,5
1110375,5
1110376,3
1110377,3
1110378,3
1110379,3
1110380,3
1110381,6
1110382,4
1110383,4
1110384,4
1110385,4
1110386,4
1110387,4
1110388,4
1110389,4
1110390,4
1110391,4
1110392,4
1110393,4
1110394,4
1110395,4
1110396,4
1110397,4
1110398,4
1110399,4
1110400,4
1110401,4
1110402,4
1110403,4
1110404,4
1110405,4
1110406,4
1110407,4
1110408,4
1110409,4
1110410,4
1110411,4
1110412,4
1110413,4
1110414,4
1110415,4
1110416,3
1110417,3
1110418,3
1110419,3
1110420,3
1110421,3
1110422,3
1110423,3
1110424,3
1110425,3
1110426,3
1110427,3
1110428,3
1110429,3
1110430,3
1110431,3
1110432,3
1110433,3
1110434,3
1110435,3
1110436,3
1110437,3
1110438,3
1110439,3
1110440,3
1110441,3
1110442,3
1110443,3
1110444,3
1110445,3
1110446,3
1110447,3
1110448,3
1110449,3
1110450,3
1110451,3
1110452,3
1110453,3
1110454,3
1110455,3
1110456,3
1110457,3
1110458,3
1110459,3
1110460,3
1110461,3
1110462,3
1110463,3
1110464,3
1110465,3
1110466,3
1110467,3
1110468,3
1110469,3
1110470,3
1110471,5
1110472,5
1110473,5
1110474,5
1110500,5
1110501,5
1110502,5
1110503,5
1110504,5
1110505,5
1110506,5
1110507,5
1110508,5
1110509,5
1110510,5
1110511,4
1110512,4
1110513,4
1110514,4
1110515,4
1110516,4
1110517,4
1110518,4
1110519,4
1110520,4
1110521,4
1110522,4
1110523,4
1110524,4
1110525,4
1110526,4
1110527,4
1110528,4
1110529,4
1110530,4
1110531,4
1110532,4
1110533,4
1110534,4
1110535,5
1110536,5
1110537,5
1110538,5
1110539,5
1110540,7
1110541,5
1110542,5
1110543,5
1110544,5
1110545,5
1110546,5
1110547,5
1110548,5
1110549,5
1110550,5
1110551,5
1110552,5
1110553,5
1110554,5
1110555,5
1110556,5
1110557,5
1110558,5
1110559,5
